program_family,country,institution_tier,base_rate,p3,p6,p12,source_count,sources_used
agriculture,Australia,2,0.693,0.3326,0.5267,0.693,1,QILT
agriculture,United Kingdom,2,0.6688,0.321,0.5083,0.6688,1,HESA
architecture,Australia,2,0.836,0.4013,0.6354,0.836,1,QILT
architecture,United Kingdom,2,0.776,0.3725,0.5897,0.776,1,HESA
biological_sciences,Australia,2,0.912,0.4378,0.6931,0.912,1,QILT
biological_sciences,United Kingdom,2,0.6086,0.2921,0.4625,0.6086,1,HESA
business,Australia,2,0.872,0.4186,0.6627,0.872,1,QILT
business,United Kingdom,2,0.7224,0.3467,0.549,0.7224,1,HESA
business,United States,1,0.5799,0.2783,0.4407,0.5799,1,BLS_OES_proxy
business,United States,2,0.5799,0.2783,0.4407,0.5799,1,BLS_OES_proxy
business,United States,3,0.5799,0.2783,0.4407,0.5799,1,BLS_OES_proxy
communications,Australia,2,0.849,0.4075,0.6452,0.849,1,QILT
communications,United Kingdom,2,0.6409,0.3076,0.4871,0.6409,1,HESA
communications,United States,1,0.5529,0.2654,0.4202,0.5529,1,BLS_OES_proxy
communications,United States,2,0.5529,0.2654,0.4202,0.5529,1,BLS_OES_proxy
communications,United States,3,0.5529,0.2654,0.4202,0.5529,1,BLS_OES_proxy
computer_science,Australia,2,0.839,0.4027,0.6376,0.839,1,QILT
computer_science,United Kingdom,2,0.6894,0.3309,0.524,0.6894,1,HESA
computer_science,United States,1,0.92,0.4416,0.6992,0.92,1,BLS_OES_proxy
computer_science,United States,2,0.92,0.4416,0.6992,0.92,1,BLS_OES_proxy
computer_science,United States,3,0.92,0.4416,0.6992,0.92,1,BLS_OES_proxy
creative_arts,Australia,2,0.849,0.4075,0.6452,0.849,1,QILT
creative_arts,United Kingdom,2,0.5246,0.2518,0.3987,0.5246,1,HESA
education,Australia,2,0.674,0.3235,0.5122,0.674,1,QILT
education,United Kingdom,2,0.7671,0.3682,0.583,0.7671,1,HESA
education,United States,1,0.5506,0.2643,0.4184,0.5506,1,BLS_OES_proxy
education,United States,2,0.5506,0.2643,0.4184,0.5506,1,BLS_OES_proxy
education,United States,3,0.5506,0.2643,0.4184,0.5506,1,BLS_OES_proxy
engineering,Australia,2,0.872,0.4186,0.6627,0.872,1,QILT
engineering,India,1,0.8469,0.4065,0.6437,0.8469,1,NIRF
engineering,India,2,0.7181,0.3447,0.5457,0.7181,1,NIRF
engineering,India,3,0.3456,0.1659,0.2626,0.3456,1,NIRF
engineering,United Kingdom,2,0.7646,0.367,0.5811,0.7646,1,HESA
engineering,United States,1,0.6001,0.288,0.4561,0.6001,1,BLS_OES_proxy
engineering,United States,2,0.6001,0.288,0.4561,0.6001,1,BLS_OES_proxy
engineering,United States,3,0.6001,0.288,0.4561,0.6001,1,BLS_OES_proxy
environmental_sciences,United Kingdom,2,0.6943,0.3333,0.5277,0.6943,1,HESA
finance,United States,1,0.5869,0.2817,0.446,0.5869,1,BLS_OES_proxy
finance,United States,2,0.5869,0.2817,0.446,0.5869,1,BLS_OES_proxy
finance,United States,3,0.5869,0.2817,0.446,0.5869,1,BLS_OES_proxy
general_studies,Australia,2,0.7028,0.3373,0.5341,0.7028,1,QILT
general_studies,Austria,2,0.904,0.4339,0.687,0.904,1,Eurostat_edat_lfse_24
general_studies,Belgium,2,0.929,0.4459,0.706,0.929,1,Eurostat_edat_lfse_24
general_studies,Bulgaria,2,0.919,0.4411,0.6984,0.919,1,Eurostat_edat_lfse_24
general_studies,Croatia,2,0.88,0.4224,0.6688,0.88,1,Eurostat_edat_lfse_24
general_studies,Cyprus,2,0.856,0.4109,0.6506,0.856,1,Eurostat_edat_lfse_24
general_studies,Czechia,2,0.746,0.3581,0.567,0.746,1,Eurostat_edat_lfse_24
general_studies,Denmark,2,0.89,0.4272,0.6764,0.89,1,Eurostat_edat_lfse_24
general_studies,Estonia,2,0.881,0.4229,0.6696,0.881,1,Eurostat_edat_lfse_24
general_studies,Finland,2,0.886,0.4253,0.6734,0.886,1,Eurostat_edat_lfse_24
general_studies,France,2,0.876,0.4205,0.6658,0.876,1,Eurostat_edat_lfse_24
general_studies,Germany,2,0.913,0.4382,0.6939,0.913,1,Eurostat_edat_lfse_24
general_studies,Hungary,2,0.942,0.4522,0.7159,0.942,1,Eurostat_edat_lfse_24
general_studies,Ireland,2,0.899,0.4315,0.6832,0.899,1,Eurostat_edat_lfse_24
general_studies,Italy,2,0.805,0.3864,0.6118,0.805,1,Eurostat_edat_lfse_24
general_studies,Latvia,2,0.885,0.4248,0.6726,0.885,1,Eurostat_edat_lfse_24
general_studies,Lithuania,2,0.906,0.4349,0.6886,0.906,1,Eurostat_edat_lfse_24
general_studies,Luxembourg,2,0.912,0.4378,0.6931,0.912,1,Eurostat_edat_lfse_24
general_studies,Malta,2,0.94,0.4512,0.7144,0.94,1,Eurostat_edat_lfse_24
general_studies,Netherlands,2,0.932,0.4474,0.7083,0.932,1,Eurostat_edat_lfse_24
general_studies,Norway,2,0.91,0.4368,0.6916,0.91,1,Eurostat_edat_lfse_24
general_studies,Poland,2,0.923,0.443,0.7015,0.923,1,Eurostat_edat_lfse_24
general_studies,Portugal,2,0.892,0.4282,0.6779,0.892,1,Eurostat_edat_lfse_24
general_studies,Romania,2,0.896,0.4301,0.681,0.896,1,Eurostat_edat_lfse_24
general_studies,Slovakia,2,0.887,0.4258,0.6741,0.887,1,Eurostat_edat_lfse_24
general_studies,Slovenia,2,0.907,0.4354,0.6893,0.907,1,Eurostat_edat_lfse_24
general_studies,Spain,2,0.858,0.4118,0.6521,0.858,1,Eurostat_edat_lfse_24
general_studies,Sweden,2,0.933,0.4478,0.7091,0.933,1,Eurostat_edat_lfse_24
general_studies,Switzerland,2,0.916,0.4397,0.6962,0.916,1,Eurostat_edat_lfse_24
general_studies,United Kingdom,2,0.6857,0.3291,0.5211,0.6857,1,HESA
general_studies,United States,1,0.5765,0.2767,0.4381,0.5765,1,BLS_OES_proxy
general_studies,United States,2,0.5765,0.2767,0.4381,0.5765,1,BLS_OES_proxy
general_studies,United States,3,0.5765,0.2767,0.4381,0.5765,1,BLS_OES_proxy
healthcare,Australia,2,0.6755,0.3242,0.5134,0.6755,1,QILT
healthcare,United States,1,0.5676,0.2724,0.4314,0.5676,1,BLS_OES_proxy
healthcare,United States,2,0.5676,0.2724,0.4314,0.5676,1,BLS_OES_proxy
healthcare,United States,3,0.5676,0.2724,0.4314,0.5676,1,BLS_OES_proxy
humanities,United Kingdom,2,0.5801,0.2785,0.4409,0.5801,1,HESA
law,Australia,2,0.76,0.3648,0.5776,0.76,1,QILT
law,United Kingdom,2,0.7069,0.3393,0.5372,0.7069,1,HESA
mathematics,Australia,2,0.914,0.4387,0.6946,0.914,1,QILT
mathematics,United Kingdom,2,0.6859,0.3292,0.5213,0.6859,1,HESA
medicine,Australia,2,0.809,0.3883,0.6148,0.809,1,QILT
medicine,United Kingdom,2,0.7377,0.3541,0.5607,0.7377,1,HESA
physical_sciences,United Kingdom,2,0.6337,0.3042,0.4816,0.6337,1,HESA
physical_sciences,United States,1,0.5777,0.2773,0.4391,0.5777,1,BLS_OES_proxy
physical_sciences,United States,2,0.5777,0.2773,0.4391,0.5777,1,BLS_OES_proxy
physical_sciences,United States,3,0.5777,0.2773,0.4391,0.5777,1,BLS_OES_proxy
psychology,Australia,2,0.736,0.3533,0.5594,0.736,1,QILT
psychology,United Kingdom,2,0.6551,0.3144,0.4978,0.6551,1,HESA
social_sciences,Australia,2,0.661,0.3173,0.5024,0.661,1,QILT
social_sciences,United Kingdom,2,0.6932,0.3327,0.5268,0.6932,1,HESA
social_sciences,United States,1,0.55,0.264,0.418,0.55,1,BLS_OES_proxy
social_sciences,United States,2,0.55,0.264,0.418,0.55,1,BLS_OES_proxy
social_sciences,United States,3,0.55,0.264,0.418,0.55,1,BLS_OES_proxy
