country,program_family,institution_tier,p15,p50,p85,currency,method
Australia,agriculture,2,55770.0,71500.0,91520.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,architecture,2,58500.0,75000.0,96000.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,biological_sciences,2,49842.0,63900.0,81792.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,business,2,56160.0,72000.0,92160.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,communications,2,50856.0,65200.0,83456.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,computer_science,2,58734.0,75300.0,96384.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,creative_arts,2,48828.0,62600.0,80128.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,education,2,61464.0,78800.0,100864.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,engineering,2,62400.0,80000.0,102400.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,general_studies,2,54600.0,70000.0,89600.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,healthcare,2,57291.0,73450.0,94016.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,law,2,59280.0,76000.0,97280.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,mathematics,2,56472.0,72400.0,92672.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,medicine,2,74139.0,95050.0,121664.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,psychology,2,58578.0,75100.0,96128.0,AUD,aggregate_lookup_with_heuristic_spread
Australia,social_sciences,2,60489.0,77550.0,99264.0,AUD,aggregate_lookup_with_heuristic_spread
Canada,agriculture,2,41808.0,53600.0,68608.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,architecture,2,58422.0,74900.0,95872.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,biological_sciences,2,37050.0,47500.0,60800.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,business,2,48516.0,62200.0,79616.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,communications,2,31980.0,41000.0,52480.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,computer_science,2,58734.0,75300.0,96384.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,creative_arts,2,31980.0,41000.0,52480.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,education,2,46800.0,60000.0,76800.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,engineering,2,58422.0,74900.0,95872.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,environmental_sciences,2,41808.0,53600.0,68608.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,general_studies,2,46566.0,59700.0,76416.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,healthcare,2,60138.0,77100.0,98688.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,humanities,2,33852.0,43400.0,55552.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,law,2,38298.0,49100.0,62848.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,mathematics,2,58734.0,75300.0,96384.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,medicine,2,60138.0,77100.0,98688.0,CAD,aggregate_lookup_with_heuristic_spread
Canada,physical_sciences,2,37050.0,47500.0,60800.0,CAD,aggregate_lookup_with_heuristic_spread
