"Proportion of employed who were away from work (FTE, PTE, OE) among postgraduate research students from all provider types by survey round, 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,In part-time employment (%),In full-time employment (%),Overall employed (%)
GOS 2022,November,3.5,0.7,1.5
GOS 2022,February,8.1,2.3,3.6
GOS 2022,May,5.4,1.6,2.5
GOS 2022,Total,5.0,1.4,2.2
GOS 2023,November,4.0,0.6,1.4
GOS 2023,February,6.4,1.4,2.5
GOS 2023,May,5.6,1.2,2.2
GOS 2023,Total,5.1,1.0,1.9
GOS 2024,November,5.3,0.8,1.8
GOS 2024,February,6.9,1.4,2.8
GOS 2024,May,5.1,1.7,2.6
GOS 2024,Total,5.5,1.2,2.3
,,,,
Column variables:,,,,
FULLEMP,,,,
AWAYWORK,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,
,,,,
Row variables:,,,,
PERIOD,,,,
YEAR,,,,
