"Proportion of employed who were away from work (FTE, PTE, OE) among undergraduates from all provider types by year 2022 - 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,In part-time employment (%),In full-time employment (%),Overall employed (%)
,GOS 2022,6.4,1.7,3.3
,GOS 2023,4.9,1.9,2.9
,GOS 2024,5.3,1.8,3.1
,Total,5.5,1.8,3.1
,,,,
Column variables:,,,,
FULLEMP,,,,
AWAYWORK,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,
,,,,
Row variables:,,,,
YEAR,,,,
