"Respondent characteristics among postgraduate coursework students and all provider types, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,Sample,Sample,Respondents,Respondents
,,n,%,n,%
,Base,75870,100.0,31673,100.0
Level,Undergraduate,0,0.0,0,0.0
Level,Postgraduate coursework,75870,100.0,31673,100.0
Level,Postgraduate research,0,0.0,0,0.0
Gender,Male,26701,35.3,9997,31.7
Gender,Female,48988,64.7,21589,68.3
Age group,30 years or under,34275,45.2,11008,34.8
Age group,Over 30 years,41595,54.8,20665,65.2
Combined course of study indicator,Combined/double degree,492,0.6,209,0.7
Combined course of study indicator,Single degree,75378,99.4,31464,99.3
Indigenous indicator,Indigenous,1131,1.5,542,1.7
Indigenous indicator,Non-Indigenous,74739,98.5,31131,98.3
Study mode,Internal/Mixed study mode,32482,44.6,12964,42.6
Study mode,External study mode,40271,55.4,17461,57.4
Type of attendance code,Full-time,33597,45.6,12839,41.7
Type of attendance code,Part-time,40062,54.4,17984,58.3
Home language,English,73148,96.4,30466,96.2
Home language,Other,2722,3.6,1207,3.8
Citizenship indicator,Domestic,75870,100.0,31673,100.0
Citizenship indicator,International,0,0.0,0,0.0
Disability,Disability reported,5275,7.0,2567,8.1
Disability,No disability reported,70595,93.0,29106,91.9
First in family,First in family,24422,43.8,10737,46.5
First in family,Not first in family,31275,56.2,12371,53.5
Socio-economic status,High,25407,40.5,10322,39.4
Socio-economic status,Medium,29714,47.4,12541,47.8
Socio-economic status,Low,7573,12.1,3362,12.8
Locality,Metropolitan,51241.05964665,100.0,20835.215146721,100.0
Locality,Regional/remote,10895.9403533405,100.0,5164.78485327389,100.0
,,,,,
Column variables:,,,,,
NATCOMPLETE,,,,,
NATINSCOPE,,,,,
E942,,,,,
Column filters:,,,,,
Respondents: NATCOMPLETE = 1,,,,,
Sample: NATINSCOPE = 1,,,,,
,,,,,
Column notes:,,,,,
This table is constructed from the GOS operational file.,,,,,
"Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
CONCCOMB,,,,,
Gender: E315,,,,,
Mode of attendance: E329,,,,,
Type of attendance: E330,,,,,
Combined course of study indicator: E455,,,,,
Age: E913,,,,,
Indigenous indicator: E940,,,,,
English speaking indicator: E941,,,,,
Citizenship indicator: E942,,,,,
Disability indicator: E943,,,,,
FAMILYED,,,,,
FIRST_ASGS_METRO,,,,,
FIRST_ASGS_REGIONAL,,,,,
FIRST_ASGS_REMOTE,,,,,
FIRST_SES_SA1,,,,,
LEVEL,,,,,
,,,,,
,,,,,
Row notes:,,,,,
*Some subgroups may not add to 100 per cent due to rounding.,,,,,
