"Respondent characteristics among postgraduate research students and all provider types, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,Sample,Sample,Respondents,Respondents
,,n,%,n,%
,Base,5652,100.0,3625,100.0
Level,Undergraduate,0,0.0,0,0.0
Level,Postgraduate coursework,0,0.0,0,0.0
Level,Postgraduate research,5652,100.0,3625,100.0
Gender,Male,2482,44.1,1483,41.0
Gender,Female,3151,55.9,2131,59.0
Age group,30 years or under,1939,34.3,1060,29.2
Age group,Over 30 years,3713,65.7,2565,70.8
Combined course of study indicator,Combined/double degree,7,0.1,5,0.1
Combined course of study indicator,Single degree,5645,99.9,3620,99.9
Indigenous indicator,Indigenous,80,1.4,49,1.4
Indigenous indicator,Non-Indigenous,5572,98.6,3576,98.6
Study mode,Internal/Mixed study mode,5026,92.9,3194,91.8
Study mode,External study mode,384,7.1,284,8.2
Type of attendance code,Full-time,3632,64.3,2250,62.1
Type of attendance code,Part-time,2020,35.7,1375,37.9
Home language,English,5255,93.0,3355,92.6
Home language,Other,397,7.0,270,7.4
Citizenship indicator,Domestic,5652,100.0,3625,100.0
Citizenship indicator,International,0,0.0,0,0.0
Disability,Disability reported,386,6.8,257,7.1
Disability,No disability reported,5266,93.2,3368,92.9
First in family,First in family,1553,37.3,987,37.5
First in family,Not first in family,2608,62.7,1642,62.5
Socio-economic status,High,1471,49.2,942,48.9
Socio-economic status,Medium,1249,41.8,811,42.1
Socio-economic status,Low,268,9.0,173,9.0
Locality,Metropolitan,2499.29827912,100.0,1608.517755122,100.0
Locality,Regional/remote,440.701720879708,100.0,290.482244877854,100.0
,,,,,
Column variables:,,,,,
NATCOMPLETE,,,,,
NATINSCOPE,,,,,
E942,,,,,
Column filters:,,,,,
Respondents: NATCOMPLETE = 1,,,,,
Sample: NATINSCOPE = 1,,,,,
,,,,,
Column notes:,,,,,
This table is constructed from the GOS operational file.,,,,,
"Postgraduate research: LEVEL = 3, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
CONCCOMB,,,,,
Gender: E315,,,,,
Mode of attendance: E329,,,,,
Type of attendance: E330,,,,,
Combined course of study indicator: E455,,,,,
Age: E913,,,,,
Indigenous indicator: E940,,,,,
English speaking indicator: E941,,,,,
Citizenship indicator: E942,,,,,
Disability indicator: E943,,,,,
FAMILYED,,,,,
FIRST_ASGS_METRO,,,,,
FIRST_ASGS_REGIONAL,,,,,
FIRST_ASGS_REMOTE,,,,,
FIRST_SES_SA1,,,,,
LEVEL,,,,,
,,,,,
,,,,,
Row notes:,,,,,
*Some subgroups may not add to 100 per cent due to rounding.,,,,,
