"Respondent characteristics among undergraduates and all provider types, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,Sample,Sample,Respondents,Respondents
,,n,%,n,%
,Base,132633,100.0,52002,100.0
Level,Undergraduate,132633,100.0,52002,100.0
Level,Postgraduate coursework,0,0.0,0,0.0
Level,Postgraduate research,0,0.0,0,0.0
Gender,Male,50841,38.4,17047,32.9
Gender,Female,81408,61.6,34752,67.1
Age group,30 years or under,109722,82.7,40135,77.2
Age group,Over 30 years,22911,17.3,11867,22.8
Combined course of study indicator,Combined/double degree,15113,11.4,5943,11.4
Combined course of study indicator,Single degree,117520,88.6,46059,88.6
Indigenous indicator,Indigenous,2265,1.7,997,1.9
Indigenous indicator,Non-Indigenous,130368,98.3,51005,98.1
Study mode,Internal/Mixed study mode,105379,81.9,40260,79.7
Study mode,External study mode,23346,18.1,10272,20.3
Type of attendance code,Full-time,98463,75.5,38142,74.6
Type of attendance code,Part-time,31906,24.5,12955,25.4
Home language,English,128927,97.2,50580,97.3
Home language,Other,3706,2.8,1422,2.7
Citizenship indicator,Domestic,132633,100.0,52002,100.0
Citizenship indicator,International,0,0.0,0,0.0
Disability,Disability reported,14488,10.9,6566,12.6
Disability,No disability reported,118145,89.1,45436,87.4
First in family,First in family,46128,41.9,18567,43.1
First in family,Not first in family,64036,58.1,24502,56.9
Socio-economic status,High,38704,33.7,14815,32.8
Socio-economic status,Medium,58474,50.9,23089,51.0
Socio-economic status,Low,17643,15.4,7325,16.2
Locality,Metropolitan,91744.550483489,100.0,34916.479349586,100.0
Locality,Regional/remote,22568.4495164951,100.0,10095.5206504067,100.0
,,,,,
Column variables:,,,,,
NATCOMPLETE,,,,,
NATINSCOPE,,,,,
E942,,,,,
Column filters:,,,,,
Respondents: NATCOMPLETE = 1,,,,,
Sample: NATINSCOPE = 1,,,,,
,,,,,
Column notes:,,,,,
This table is constructed from the GOS operational file.,,,,,
"Undergraduate: LEVEL = 1, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
CONCCOMB,,,,,
Gender: E315,,,,,
Mode of attendance: E329,,,,,
Type of attendance: E330,,,,,
Combined course of study indicator: E455,,,,,
Age: E913,,,,,
Indigenous indicator: E940,,,,,
English speaking indicator: E941,,,,,
Citizenship indicator: E942,,,,,
Disability indicator: E943,,,,,
FAMILYED,,,,,
FIRST_ASGS_METRO,,,,,
FIRST_ASGS_REGIONAL,,,,,
FIRST_ASGS_REMOTE,,,,,
FIRST_SES_SA1,,,,,
LEVEL,,,,,
,,,,,
,,,,,
Row notes:,,,,,
*Some subgroups may not add to 100 per cent due to rounding.,,,,,
