"Course prepared them well or very well for managerial or professional occupations, full-time employed, among postgraduate coursework students from all provider types by study area, 2024",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Employed full-time
,Agriculture and environmental studies,72.4
,Architecture and built environment,73.8
,Business and management,80.0
,Communications,69.4
,Computing and information systems,64.5
,Creative arts,78.8
,Dentistry,75.0
,Engineering,76.7
,Health services and support,80.2
,"Humanities, culture and social sciences",75.4
,Law and paralegal studies,70.7
,Medicine,86.6
,Nursing,85.1
,Pharmacy,91.2
,Psychology,74.0
,Rehabilitation,87.4
,Science and mathematics,71.4
,Social work,81.3
,Teacher education,81.3
,"Tourism, hospitality, personal services, sport and recreation",
,Veterinary science,81.5
,Total,78.9
,,
Column variables:,,
ANZSCO,,
CRSPREP,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
ANZSCO < 300000,,
FULLEMP = 1,,
"CRSPREP != (NA, 95,99)",,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,
,,
Row variables:,,
AREA,,
,,
Row notes:,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,
