"Extent to which qualification prepared among postgraduate research students and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
,Very well,44.9,43.2
,Well,37.1,36.1
,Not well,5.0,5.0
,Not at all,6.2,7.1
,Unsure,6.8,8.5
,All,100.0,100.0
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,
,,,
Row variables:,,,
CRSPREP,,,
