"Course prepared them well or very well for current job, 2024, among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Employed full-time,Overall employed
,Agriculture and environmental studies,71.0,61.4
,Architecture and built environment,74.2,63.8
,Business and management,74.9,69.0
,Communications,67.1,56.2
,Computing and information systems,70.3,61.4
,Creative arts,59.9,52.3
,Dentistry,85.1,83.0
,Engineering,76.8,73.0
,Health services and support,75.7,68.0
,"Humanities, culture and social sciences",65.6,55.0
,Law and paralegal studies,76.7,71.5
,Medicine,85.9,74.7
,Nursing,85.0,84.7
,Pharmacy,92.9,91.8
,Psychology,64.1,56.7
,Rehabilitation,91.9,90.9
,Science and mathematics,67.0,52.8
,Social work,83.3,79.1
,Teacher education,78.6,77.8
,"Tourism, hospitality, personal services, sport and recreation",75.6,68.2
,Veterinary science,85.0,77.9
,Total,74.1,66.5
,,,
Column variables:,,,
FULLEMP,,,
CRSPREP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"CRSPREP != (NA, 95,99)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
