"Course prepared them well or very well for managerial or professional occupations, full-time employed, among undergraduates from all provider types by study area, 2024",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Employed full-time
,Agriculture and environmental studies,73.5
,Architecture and built environment,80.1
,Business and management,78.4
,Communications,78.4
,Computing and information systems,75.5
,Creative arts,74.7
,Dentistry,86.7
,Engineering,79.6
,Health services and support,84.6
,"Humanities, culture and social sciences",72.8
,Law and paralegal studies,79.3
,Medicine,91.7
,Nursing,86.7
,Pharmacy,94.9
,Psychology,68.7
,Rehabilitation,92.9
,Science and mathematics,78.2
,Social work,86.9
,Teacher education,80.8
,"Tourism, hospitality, personal services, sport and recreation",85.3
,Veterinary science,89.1
,Total,80.0
,,
Column variables:,,
ANZSCO,,
CRSPREP,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
ANZSCO < 300000,,
FULLEMP = 1,,
"CRSPREP != (NA, 95,99)",,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,
,,
Row variables:,,
AREA,,
,,
Row notes:,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,
