"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Gender,Male,90.9,88.5,93.4,91.9,96.2,95.8
Gender,Female,90.0,88.0,94.2,93.0,95.4,95.2
Age group,30 years or under,89.5,85.9,93.6,91.8,95.8,95.8
Age group,Over 30 years,90.7,89.4,94.1,93.2,95.5,95.1
Indigenous,Indigenous,90.9,92.4,93.9,94.7,93.5,94.6
Indigenous,Non-Indigenous,90.3,88.1,93.9,92.6,95.7,95.4
Home language,English,90.5,88.5,94.1,92.9,95.7,95.4
Home language,Language other than English,83.4,80.4,89.2,85.9,94.6,95.5
Disability,Disability reported,82.3,81.5,88.7,89.1,92.5,92.3
Disability,No disability reported,90.8,88.7,94.3,93.0,95.9,95.6
Study mode,Internal/Mixed study mode,87.7,84.1,92.6,90.9,95.6,95.0
Study mode,External study mode,92.1,90.9,94.9,93.9,95.7,95.7
First in family,First in family,91.1,89.5,94.3,93.9,95.6,95.5
First in family,Not first in family,89.9,87.4,94.1,92.4,95.8,95.5
Socio-economic status,High*,90.2,87.6,93.8,92.4,95.9,95.4
Socio-economic status,Medium*,90.3,88.4,94.0,93.0,96.3,95.4
Socio-economic status,Low*,90.9,88.9,94.9,93.2,95.2,95.6
Locality,Metro* †,89.7,87.3,93.6,92.2,96.0,95.4
Locality,Regional/Remote* †,93.5,91.8,95.8,95.3,95.9,95.8
Total,Total,90.3,88.1,93.9,92.7,95.6,95.4
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
