"Employment outcomes (FTE, OE, LF) among postgraduate coursework students and all provider types by gender, 2023-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Female 2023,Total 2023,Male 2024,Female 2024,Total 2024
,Full-time employment,90.9,90.0,90.3,88.5,88.0,88.1
,Overall employment,93.4,94.2,93.9,91.9,93.0,92.7
,Labour force participation rate,96.2,95.4,95.6,95.8,95.2,95.4
,,,,,,,
Column variables:,,,,,,,
Gender: E315,,,,,,,
YEAR,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
