"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by full-time study status by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
In full-time study,Male,57.5,78.5,75.4,"70,400"
In full-time study,Female,59.8,81.2,82.6,"69,400"
In full-time study,Total,59.0,80.3,80.0,"70,000"
Not in full-time study,Male,73.9,85.9,96.6,"76,400"
Not in full-time study,Female,76.6,89.8,95.8,"73,500"
Not in full-time study,Total,75.6,88.4,96.0,"75,000"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,
,,,,,
Row Variables:,,,,,
Gender: E315,,,,,
FURSTUD,,,,,
YEAR,,,,,
