"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Back to INDEX,,,,,,,,,
,,,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024,30 years or under 2023,30 years or under 2024
,Agriculture and environmental studies,82.1,77.8,91.2,88.5,91.6,93.1,61.7,69.3
,Architecture and built environment,78.7,66.6,87.3,80.4,95.6,94.4,86.5,83.6
,Business and management,84.5,78.5,89.9,88.7,96.0,95.9,87.9,87.2
,Communications,64.9,58.3,85.1,80.9,89.4,91.3,79.8,84.9
,Computing and information systems,74.4,67.8,83.1,80.4,94.8,93.7,85.2,83.9
,Creative arts,53.5,48.4,81.1,79.3,90.4,91.1,83.2,84.9
,Dentistry,83.2,85.6,91.9,91.0,93.9,94.7,87.4,80.9
,Engineering,89.2,85.5,91.7,89.5,95.5,94.5,87.6,87.2
,Health services and support,78.0,75.4,90.9,89.6,92.6,93.3,75.3,75.2
,"Humanities, culture and social sciences",71.8,66.7,86.8,84.5,90.3,90.9,81.7,80.6
,Law and paralegal studies,84.5,79.3,89.6,88.5,94.8,94.4,78.8,76.0
,Medicine,95.6,90.4,97.0,93.4,95.1,91.3,63.8,80.9
,Nursing,86.8,85.5,91.9,91.7,95.6,95.8,60.3,59.9
,Pharmacy,98.4,91.4,97.9,91.6,95.2,95.8,87.8,89.1
,Psychology,72.7,65.5,88.1,86.9,90.2,89.4,72.9,73.6
,Rehabilitation,95.6,94.9,96.7,95.9,96.1,97.2,88.4,88.5
,Science and mathematics,69.8,63.6,86.2,82.5,86.9,87.2,92.3,91.4
,Social work,80.7,77.3,89.8,88.6,93.9,94.7,50.8,51.6
,Teacher education,89.6,86.8,94.1,92.5,94.0,94.4,68.1,67.4
,"Tourism, hospitality, personal services, sport and recreation",73.0,69.8,88.2,88.4,97.1,95.0,94.9,91.2
,Veterinary science,92.1,84.7,92.3,89.2,94.0,92.7,90.4,86.1
,Total,79.0,74.0,88.9,86.9,92.5,92.6,77.3,77.2
,Standard deviation,11.1,12.1,4.3,4.7,2.7,2.4,12.1,10.5
,,,,,,,,,
Column variables:,,,,,,,,,
AVAILEMP,,,,,,,,,
AVAILFT,,,,,,,,,
FULLEMP,,,,,,,,,
GENEMP,,,,,,,,,
YEAR,,,,,,,,,
E913,,,,,,,,,
,,,,,,,,,
Column filters:,,,,,,,,,
OE: AVAILEMP = 1,,,,,,,,,
FTE: AVAILFT = 1,,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,,
,,,,,,,,,
Row variables:,,,,,,,,,
AREA,,,,,,,,,
,,,,,,,,,
Row notes:,,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,,
