"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Gender,Male,78.2,72.7,87.0,84.7,92.5,92.0
Gender,Female,79.5,74.9,89.9,88.0,92.5,92.9
Age group,30 years or under,78.0,72.4,88.7,86.5,93.2,93.3
Age group,Over 30 years,82.7,80.1,89.7,88.4,90.0,90.4
Indigenous,Indigenous,82.8,82.7,88.0,88.8,92.2,91.5
Indigenous,Non-Indigenous,78.9,73.9,89.0,86.9,92.5,92.6
Home language,English,79.3,74.5,89.2,87.3,92.5,92.7
Home language,Language other than English,66.1,58.1,78.4,73.6,90.4,88.5
Disability,Disability reported,71.0,66.8,84.3,82.9,88.7,89.8
Disability,No disability reported,79.9,75.0,89.5,87.4,93.0,93.0
Study mode,Internal/Mixed study mode,77.4,71.9,88.6,86.2,92.8,92.8
Study mode,External study mode,84.7,81.2,90.6,89.5,91.6,92.0
First in family,First in family,79.6,75.1,89.5,87.9,92.9,93.4
First in family,Not first in family,79.0,73.4,89.1,86.7,92.9,92.8
Socio-economic status,High*,79.5,73.5,89.6,86.7,92.1,92.2
Socio-economic status,Medium*,78.7,73.8,89.0,87.2,92.9,93.0
Socio-economic status,Low*,78.3,73.8,88.4,86.4,92.7,93.1
Locality,Metro* †,77.6,71.7,88.4,86.1,92.7,92.7
Locality,Regional/Remote* †,83.7,80.6,91.6,89.9,92.3,93.2
Total,Total,79.0,74.0,88.9,86.9,92.5,92.6
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
