"Employment outcomes (FTE, OE, LF) among undergraduates and all provider types by gender, 2023-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Female 2023,Total 2023,Male 2024,Female 2024,Total 2024
,Full-time employment,78.2,79.5,79.0,72.7,74.9,74.0
,Overall employment,87.0,89.9,88.9,84.7,88.0,86.9
,Labour force participation rate,92.5,92.5,92.5,92.0,92.9,92.6
,,,,,,,
Column variables:,,,,,,,
Gender: E315,,,,,,,
YEAR,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
