"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by survey round, 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
GOS 2022,November,73.7,86.2,93.2,"65,500"
GOS 2022,February,75.7,84.5,92.6,"70,000"
GOS 2022,May,80.6,89.3,92.1,"68,500"
GOS 2022,Total,78.5,88.3,92.4,"68,000"
GOS 2023,November,76.9,87.3,93.0,"70,000"
GOS 2023,February,79.5,86.0,91.9,"73,300"
GOS 2023,May,79.7,89.7,92.4,"71,000"
GOS 2023,Total,79.0,88.9,92.5,"71,000"
GOS 2024,November,73.3,86.2,93.0,"74,000"
GOS 2024,February,73.5,83.7,93.0,"75,700"
GOS 2024,May,74.3,87.4,92.5,"75,000"
GOS 2024,Total,74.0,86.9,92.6,"75,000"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
PERIOD,,,,,
YEAR,,,,,
