"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from universities by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Gender,Male,78.7,73.2,87.2,85.0,92.6,92.1
Gender,Female,79.8,75.2,90.1,88.2,92.6,93.0
Age group,30 years or under,78.4,72.8,88.9,86.7,93.3,93.3
Age group,Over 30 years,83.3,80.7,90.1,88.7,90.2,90.7
Indigenous,Indigenous,83.3,82.9,88.2,88.7,92.1,91.7
Indigenous,Non-Indigenous,79.3,74.3,89.1,87.1,92.6,92.7
Home language,English,79.8,74.9,89.4,87.5,92.7,92.8
Home language,Language other than English,66.4,58.4,78.5,73.8,90.5,89.0
Disability,Disability reported,71.3,67.1,84.5,83.1,88.7,89.9
Disability,No disability reported,80.3,75.4,89.7,87.7,93.1,93.1
Study mode,Internal/Mixed study mode,77.9,72.3,88.8,86.5,92.9,92.9
Study mode,External study mode,84.8,81.4,90.7,89.7,91.7,92.0
First in family,First in family,80.3,75.5,89.9,88.1,93.0,93.5
First in family,Not first in family,79.3,73.8,89.1,86.9,93.0,92.8
Socio-economic status,High*,79.9,73.9,89.7,87.0,92.2,92.2
Socio-economic status,Medium*,79.0,74.2,89.2,87.4,93.0,93.1
Socio-economic status,Low*,78.5,74.2,88.6,86.7,92.7,93.1
Locality,Metro* †,78.0,72.2,88.6,86.4,92.8,92.7
Locality,Regional/Remote* †,83.9,80.8,91.8,90.0,92.3,93.2
Total,Total,79.4,74.4,89.1,87.1,92.6,92.7
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
