"Proportion employed full-time, 2022-2024, with 90% confidence intervals among postgraduate coursework students from non-university higher education institutes (NUHEIs) by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Full-time employment rate
,HEPCO The Tax Institute Higher Education,100.0
,Marcus Oldham College,100.0
,Chartered Accountants Australia and New Zealand,"98.1 (96.9, 98.8)"
,Kaplan Higher Education Pty Ltd,"98.0 (97.1, 98.6)"
,Health Education & Training Institute,"96.5 (92.0, 96.8)"
,Governance Institute of Australia,"96.2 (92.7, 98.1)"
,BBI - The Australian Institute of Theological Education,"95.9 (90.5, 98.2)"
,Australian College of Nursing,"94.9 (93.1, 96.1)"
,Australian Institute of Business Pty Ltd,"94.7 (93.7, 95.5)"
,Sydney College of Divinity,"94.4 (88.4, 97.1)"
,Australian Institute of Management Education & Training,"94.1 (92.8, 95.0)"
,Kaplan Business School,"93.5 (87.1, 96.3)"
,Engineering Institute of Technology,"93.2 (87.7, 95.8)"
,The College of Law Limited,"92.7 (92.0, 93.4)"
,Christian Heritage College,"92.3 (85.5, 94.9)"
,All NUHEIs,"91.8 (91.4, 92.2)"
,Alphacrucis University College,"91.6 (85.6, 94.9)"
,Australian University of Theology*,"90.9 (88.3, 92.9)"
,ISN Psychology Pty Ltd,"88.6 (77.3, 94.3)"
,The Institute of Internal Auditors - Australia,"88.5 (79.0, 94.1)"
,The Cairnmillar Institute,"87.5 (82.7, 91.0)"
,Melbourne Institute of Technology,"86.0 (83.4, 88.1)"
,Morling College,"84.8 (72.9, 91.5)"
,Chisholm Institute,"83.3 (74.9, 88.3)"
,The MIECAT Institute,"83.3 (70.9, 90.2)"
,Excelsia University College,"81.7 (74.6, 86.8)"
,Gestalt Therapy Brisbane,"77.8 (65.2, 85.3)"
,Leo Cussen Centre for Law,"74.9 (70.4, 78.8)"
,Tabor College of Higher Education,"74.1 (64.8, 81.3)"
,ACAP University College,"71.9 (67.9, 75.6)"
,Academies Australasia Polytechnic Pty Limited,
,Academy of Interactive Technology,
,Acknowledge Education,
,Adelaide Central School of Art,
,Adelaide Institute of Higher Education,
,Asia Pacific International College,
,Australasian College of Health and Wellness,
,Australia Advance Education Group Pty Ltd,
,Australian Academy of Music and Performing Arts,
,Australian College of Christian Studies,
,Australian Institute of Higher Education,
,Australian Institute of Professional Counsellors,
,Box Hill Institute,
,CIC Higher Education,
,Campion College Australia,
,Collarts (Australian College of the Arts),
,Crown Institute of Higher Education Pty Ltd,
,Eastern College Australia,
,Endeavour College of Natural Health,
,Holmes Institute,
,Holmesglen Institute,
,ICHM,
,Ikon Institute of Australia,
,Institute of Health & Management Pty Ltd,
,"International College of Management, Sydney",
,Jazz Music Institute,
,King's Own Institute,
,LCI Melbourne,
,Le Cordon Bleu Australia,
,Leaders Institute,
,Lyons College,
,Melbourne Polytechnic,
,Montessori World Educational Institute (Australia),
,Moore Theological College,
,Nan Tien Institute,
,National Art School,
,National Institute of Organisation Dynamics Aust,
,Ozford Institute of Higher Education,
,Performing Arts Education,
,Perth Bible College,
,Polytechnic Institute Australia Pty Ltd,
,SAE University College,
,SP Jain School of Management,
,Sheridan Institute of Higher Education,
,Southern Cross Education Institute (Higher Education),
,Stanley College,
,TAFE NSW,
,TAFE Queensland,
,TAFE South Australia,
,The Australian College of Physical Education,
,The Australian Institute of Music,
,The Institute of Creative Arts and Technology,
,UOW College,
,UTS College,
,VIT (Victorian Institute of Technology),
,Wentworth Institute of Higher Education,
,"Whitehouse Institute of Design, Australia",
,William Angliss Institute,
,,
Column variables:,,
AVAILFT,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
AVAILFT =1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, NUHEI: HEPTYPE = 2, e942 = 0",,
,,
Row variables:,,
E306,,
,,
Row notes:,,
"* The Australian University of Theology was awarded university status in December 2024. Prior to this, the institution was known as the Australian College of Theology and was classified as a non-university higher education institution (NUHEI). Data for the 2024 GOS was collected when the institution was a NUHEI.",,
