"Proportion employed full-time, 2024, with 90% confidence intervals among postgraduate coursework students from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Full-time employment rate
,University of Tasmania,"94.3 (93.1, 95.2)"
,University of Newcastle,"93.8 (91.9, 95.3)"
,Australian Catholic University,"92.7 (90.8, 94.2)"
,Charles Sturt University,"92.5 (91.2, 93.5)"
,University of Divinity,"90.6 (83.6, 94.3)"
,The University of Notre Dame Australia,"90.5 (87.7, 92.5)"
,University of Southern Queensland,"90.3 (87.9, 92.1)"
,Central Queensland University,"90.1 (87.2, 92.2)"
,Southern Cross University,"89.9 (87.3, 91.9)"
,Federation University Australia,"89.8 (85.7, 92.6)"
,University of New South Wales,"89.7 (88.4, 90.9)"
,University of Canberra,"89.5 (86.6, 91.7)"
,Griffith University,"89.4 (87.5, 91.0)"
,Flinders University,"89.2 (87.0, 90.9)"
,Queensland University of Technology,"89.1 (87.7, 90.3)"
,Charles Darwin University,"89.0 (84.8, 91.8)"
,The Australian National University,"89.0 (86.4, 91.0)"
,James Cook University,"89.0 (86.4, 91.0)"
,University of New England,"89.0 (86.6, 90.8)"
,La Trobe University,"88.2 (85.8, 90.0)"
,The University of South Australia,"88.0 (85.3, 90.1)"
,Bond University,"87.9 (81.7, 92.0)"
,University of Wollongong,"87.9 (84.9, 90.1)"
,All universities,"87.6 (87.2, 87.9)"
,Edith Cowan University,"87.0 (84.7, 88.8)"
,Deakin University,"86.5 (85.1, 87.8)"
,Murdoch University,"86.5 (81.5, 90.0)"
,The University of Western Australia,"86.0 (83.4, 88.2)"
,The University of Queensland,"85.9 (83.6, 87.9)"
,Curtin University,"85.9 (83.3, 88.1)"
,University of the Sunshine Coast,"85.9 (79.3, 90.1)"
,Macquarie University,"85.8 (83.0, 88.0)"
,The University of Sydney,"85.7 (84.0, 87.2)"
,Victoria University,"85.7 (83.0, 87.9)"
,Swinburne University of Technology,"85.2 (82.4, 87.5)"
,RMIT University,"84.9 (83.2, 86.3)"
,Monash University,"84.5 (83.1, 85.7)"
,Western Sydney University,"84.2 (80.8, 86.9)"
,University of Technology Sydney,"84.0 (81.7, 86.0)"
,The University of Adelaide,"83.6 (81.0, 85.9)"
,The University of Melbourne,"83.6 (82.4, 84.7)"
,Torrens University,"76.7 (71.8, 80.7)"
,Avondale University,
,,
Column variables:,,
AVAILFT,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
AVAILFT =1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
