"Proportion employed full-time, 2024, with 90% confidence intervals among undergraduates from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Full-time employment rate
,Charles Sturt University,"89.1 (87.7, 90.4)"
,Avondale University,"88.1 (78.4, 93.1)"
,The University of Notre Dame Australia,"87.0 (84.1, 89.3)"
,James Cook University,"86.8 (84.2, 88.9)"
,University of New England,"86.1 (84.4, 87.6)"
,Charles Darwin University,"84.9 (82.7, 86.8)"
,University of Southern Queensland,"84.1 (82.1, 85.9)"
,Central Queensland University,"83.6 (81.6, 85.4)"
,Curtin University,"80.1 (78.0, 82.1)"
,University of Newcastle,"80.1 (77.9, 82.1)"
,Australian Catholic University,"79.4 (77.4, 81.3)"
,Southern Cross University,"79.4 (76.4, 82.0)"
,The University of Queensland,"79.1 (77.4, 80.7)"
,University of Tasmania,"78.8 (76.9, 80.6)"
,University of New South Wales,"77.8 (75.9, 79.5)"
,The University of South Australia,"76.9 (75.0, 78.7)"
,Bond University,"76.3 (68.3, 82.5)"
,Queensland University of Technology,"75.9 (74.4, 77.4)"
,Edith Cowan University,"75.3 (72.7, 77.7)"
,The Australian National University,"75.2 (72.3, 77.8)"
,The University of Adelaide,"75.2 (72.9, 77.3)"
,University of Canberra,"74.7 (71.6, 77.4)"
,All universities,"74.4 (74.1, 74.8)"
,The University of Sydney,"74.4 (72.5, 76.1)"
,Swinburne University of Technology,"74.3 (72.2, 76.2)"
,Federation University Australia,"74.1 (70.4, 77.5)"
,La Trobe University,"74.0 (71.8, 76.2)"
,Monash University,"73.2 (71.6, 74.7)"
,Deakin University,"72.8 (71.4, 74.3)"
,University of the Sunshine Coast,"72.1 (69.5, 74.5)"
,University of Technology Sydney,"71.9 (70.0, 73.7)"
,University of Wollongong,"71.4 (68.4, 74.1)"
,Flinders University,"70.7 (68.0, 73.2)"
,Griffith University,"70.2 (68.1, 72.1)"
,Murdoch University,"70.1 (66.8, 73.2)"
,Western Sydney University,"68.9 (66.9, 70.9)"
,Macquarie University,"66.7 (64.5, 68.9)"
,The University of Western Australia,"63.8 (60.2, 67.2)"
,Victoria University,"62.9 (60.1, 65.6)"
,Torrens University,"61.5 (58.4, 64.4)"
,RMIT University,"60.8 (59.1, 62.5)"
,The University of Melbourne,"59.6 (57.3, 61.9)"
,University of Divinity,
,,
Column variables:,,
AVAILFT,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
AVAILFT =1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
