"Further full-time study by gender among postgraduate coursework students from all provider types by study area, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,In full-time study – Male,In full-time study – Female,In full-time study – Total,Not in full-time study – Male,Not in full-time study – Female,Not in full-time study – Total
,Agriculture and environmental studies,3.4,5.9,5.0,96.6,94.1,95.0
,Architecture and built environment,3.7,3.8,3.7,96.3,96.2,96.3
,Business and management,8.3,6.5,7.3,91.7,93.5,92.7
,Communications,9.0,5.3,6.0,91.0,94.7,94.0
,Computing and information systems,7.7,7.2,7.5,92.3,92.8,92.5
,Creative arts,12.5,9.6,10.1,87.5,90.4,89.9
,Dentistry,3.1,3.9,3.6,96.9,96.1,96.4
,Engineering,6.1,5.6,6.0,93.9,94.4,94.0
,Health services and support,10.2,4.9,6.2,89.8,95.1,93.8
,"Humanities, culture and social sciences",9.6,8.9,9.1,90.4,91.1,90.9
,Law and paralegal studies,4.7,5.1,4.9,95.3,94.9,95.1
,Medicine,4.1,5.1,4.7,95.9,94.9,95.3
,Nursing,9.0,6.3,6.6,91.0,93.7,93.4
,Pharmacy,10.0,4.3,5.4,90.0,95.7,94.6
,Psychology,26.2,16.3,17.9,73.8,83.7,82.1
,Rehabilitation,1.5,0.0,0.3,98.5,100.0,99.7
,Science and mathematics,12.5,9.7,11.1,87.5,90.3,88.9
,Social work,9.4,6.9,7.3,90.6,93.1,92.7
,Teacher education,6.5,5.7,5.9,93.5,94.3,94.1
,"Tourism, hospitality, personal services, sport and recreation",,,,,,
,Veterinary science,,4.2,3.5,,95.8,96.5
,Total,8.3,6.9,7.3,91.7,93.1,92.7
,,,,,,,
Column variables:,,,,,,,
Gender: E315,,,,,,,
FURSTUD,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
"FURSTUD != (NA, 99)",,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
