"Further full-time study among postgraduate coursework students from all provider types by demographic group, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,In full-time study in 2024,Not in full-time study in 2024
Gender,Male,8.3,91.7
Gender,Female,6.9,93.1
Age group,30 years or under,7.2,92.8
Age group,Over 30 years,7.4,92.6
Indigenous,Indigenous,13.7,86.3
Indigenous,Non-Indigenous,7.2,92.8
Home language,English,7.2,92.8
Home language,Language other than English,9.9,90.1
Disability,Disability reported,9.1,90.9
Disability,No disability reported,7.2,92.8
Study mode,Internal/Mixed study mode,6.2,93.8
Study mode,External study mode,8.2,91.8
First in family,First in family,7.3,92.7
First in family,Not first in family,7.0,93.0
Socio-economic status,High*,6.9,93.1
Socio-economic status,Medium*,7.4,92.6
Socio-economic status,Low*,7.5,92.5
Locality,Metro* †,7.3,92.7
Locality,Regional/Remote* †,6.9,93.1
Total,Total,7.3,92.7
,,,
Column variables:,,,
FURSTUD,,,
YEAR,,,
,,,
Column filters:,,,
"FURSTUD != (NA, 95, 99)",,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,
,,,
Row variables:,,,
Gender: E315,,,
Mode of attendance: E329,,,
Indigenous indicator: E940,,,
English speaking indicator: E941,,,
Citizenship indicator: E942,,,
Disability indicator: E943,,,
FAMILYED,,,
FIRST_ASGS_METRO,,,
FIRST_ASGS_REGIONAL,,,
FIRST_ASGS_REMOTE,,,
FIRST_SES_SA1,,,
,,,
Row notes:,,,
30 years or under: e913 > 0 & e913 <= 30,,,
Over 30 years: e913 > 30,,,
"Internal/Mixed study mode: E329  = (1,3)",,,
"External study mode: E329  = (2,4,5)",,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,
