"Current further study: field of education among postgraduate research students and all provider types by further full-time study, 2024",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,In full-time study in 2024
,"Agriculture, environmental & related studies",2.9
,Architecture & building,1.5
,Creative arts,7.4
,Education,10.3
,Engineering & related technologies,8.1
,"Food, hospitality & personal services",0.0
,Health,17.6
,Information technology,5.9
,Management & commerce,2.9
,Mixed field programmes,0.7
,Natural & physical sciences,21.3
,Society & culture,20.6
,Other (please specify),0.7
,All,100.0
,,
Column variables:,,
FURFOE,,
FURSTUD,,
YEAR,,
,,
Column filters:,,
"FURFOE != (NA, 95, 99)",,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,
,,
Row variables:,,
FURFOE,,
