"Further full-time study by gender among undergraduates from all provider types by study area, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,In full-time study – Male,In full-time study – Female,In full-time study – Total,Not in full-time study – Male,Not in full-time study – Female,Not in full-time study – Total
,Agriculture and environmental studies,10.9,13.6,12.8,89.1,86.4,87.2
,Architecture and built environment,15.1,17.3,16.3,84.9,82.7,83.7
,Business and management,11.5,8.8,10.0,88.5,91.2,90.0
,Communications,11.9,11.7,11.9,88.1,88.3,88.1
,Computing and information systems,11.4,10.8,11.4,88.6,89.2,88.6
,Creative arts,18.6,18.3,18.5,81.4,81.7,81.5
,Dentistry,19.0,12.3,14.0,81.0,87.7,86.0
,Engineering,12.7,13.2,12.8,87.3,86.8,87.2
,Health services and support,22.2,18.6,19.4,77.8,81.4,80.6
,"Humanities, culture and social sciences",22.8,22.4,22.6,77.2,77.6,77.4
,Law and paralegal studies,15.8,20.4,18.8,84.2,79.6,81.2
,Medicine,15.3,20.4,18.7,84.7,79.6,81.3
,Nursing,7.2,4.2,4.5,92.8,95.8,95.5
,Pharmacy,27.0,16.2,19.1,73.0,83.8,80.9
,Psychology,36.3,31.4,32.5,63.7,68.6,67.5
,Rehabilitation,6.5,1.9,2.8,93.5,98.1,97.2
,Science and mathematics,35.7,35.5,35.6,64.3,64.5,64.4
,Social work,9.3,9.7,9.6,90.7,90.3,90.4
,Teacher education,13.4,11.1,11.7,86.6,88.9,88.3
,"Tourism, hospitality, personal services, sport and recreation",12.5,17.6,14.8,87.5,82.4,85.2
,Veterinary science,27.0,16.0,17.6,73.0,84.0,82.4
,Total,18.9,17.4,17.9,81.1,82.6,82.1
,,,,,,,
Column variables:,,,,,,,
Gender: E315,,,,,,,
FURSTUD,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
"FURSTUD != (NA, 99)",,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
