"Further full-time study among undergraduates from all provider types by demographic group, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,In full-time study in 2024,Not in full-time study in 2024
Gender,Male,18.9,81.1
Gender,Female,17.4,82.6
Age group,30 years or under,19.6,80.4
Age group,Over 30 years,12.5,87.5
Indigenous,Indigenous,20.6,79.4
Indigenous,Non-Indigenous,17.9,82.1
Home language,English,17.7,82.3
Home language,Language other than English,27.3,72.7
Disability,Disability reported,20.6,79.4
Disability,No disability reported,17.5,82.5
Study mode,Internal/Mixed study mode,19.3,80.7
Study mode,External study mode,12.8,87.2
First in family,First in family,16.1,83.9
First in family,Not first in family,19.7,80.3
Socio-economic status,High*,19.2,80.8
Socio-economic status,Medium*,17.8,82.2
Socio-economic status,Low*,16.4,83.6
Locality,Metro* †,18.6,81.4
Locality,Regional/Remote* †,16.3,83.7
Total,Total,17.9,82.1
,,,
Column variables:,,,
FURSTUD,,,
YEAR,,,
,,,
Column filters:,,,
"FURSTUD != (NA, 95, 99)",,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,
,,,
Row variables:,,,
Gender: E315,,,
Mode of attendance: E329,,,
Indigenous indicator: E940,,,
English speaking indicator: E941,,,
Citizenship indicator: E942,,,
Disability indicator: E943,,,
FAMILYED,,,
FIRST_ASGS_METRO,,,
FIRST_ASGS_REGIONAL,,,
FIRST_ASGS_REMOTE,,,
FIRST_SES_SA1,,,
,,,
Row notes:,,,
30 years or under: e913 > 0 & e913 <= 30,,,
Over 30 years: e913 > 30,,,
"Internal/Mixed study mode: E329  = (1,3)",,,
"External study mode: E329  = (2,4,5)",,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,
