"Employment outcomes (FTE, OE) among postgraduate coursework students from all provider types by average actual and usual hours worked per week 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Part-time employment,Full-time employment,Overall employment
Actual hours,2022,22.6,42.0,38.0
Actual hours,2023,23.2,42.5,38.5
Actual hours,2024,23.2,42.1,37.8
Actual hours,Total,23.0,42.2,38.1
Usual hours,2022,23.5,42.1,38.1
Usual hours,2023,23.7,42.0,38.1
Usual hours,2024,23.8,41.7,37.6
Usual hours,Total,23.7,41.9,37.9
,,,,
Column variables:,,,,
FULLEMP,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,
,,,,
Row variables:,,,,
ACTLHRS,,,,
USLHRS,,,,
YEAR,,,,
,,,,
Row notes:,,,,
Hours constrained to ACTLHRS <= 168 (24 * 7) to ensure only valid values are included.,,,,
