"Employment outcomes (FTE, OE) among postgraduate research students from all provider types by average actual and usual hours worked per week 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Part-time employment,Full-time employment,Overall employment
Actual hours,2022,19.6,41.4,36.4
Actual hours,2023,20.2,41.5,36.9
Actual hours,2024,20.4,41.5,36.5
Actual hours,Total,20.0,41.5,36.6
Usual hours,2022,20.2,42.1,36.9
Usual hours,2023,21.3,41.8,37.1
Usual hours,2024,20.8,41.5,36.5
Usual hours,Total,20.7,41.8,36.9
,,,,
Column variables:,,,,
FULLEMP,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,
,,,,
Row variables:,,,,
ACTLHRS,,,,
USLHRS,,,,
YEAR,,,,
,,,,
Row notes:,,,,
Hours constrained to ACTLHRS <= 168 (24 * 7) to ensure only valid values are included.,,,,
