GOS 2024 Tables and Figures,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Sheet,Report,PowerBI,Title,Course level,Provider type,Category
OVERALL_ALL_ALL_2Y_HEPTYPE,Table 08,Report 1,"Employment (FTE, OE, LF, SAL) and study outcomes among all course levels from all provider types by provider type, 2023 - 2024 ",ALL,ALL,Labour force outcomes
EMP_UG_ALL_2Y_AREA,Table 06,Report 2,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by study area",UG,ALL,Occupation
EMP_PGC_ALL_2Y_AREA,,Report 2,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by study area",PGC,ALL,Occupation
EMP_PGR_ALL_2Y_AREA,,Report 2,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by study area",PGR,ALL,Occupation
EMP_UG_ALL_2Y_E315,,Report 1,"Employment outcomes (FTE, OE, LF) among undergraduates and all provider types by gender, 2023-2024",UG,ALL,Occupation
EMP_PGC_ALL_2Y_E315,,Report 1,"Employment outcomes (FTE, OE, LF) among postgraduate coursework students and all provider types by gender, 2023-2024",PGC,ALL,Occupation
EMP_PGR_ALL_2Y_E315,,Report 1,"Employment outcomes (FTE, OE, LF) among postgraduate research students and all provider types by gender, 2023-2024",PGR,ALL,Occupation
EMP_UG_ALL_2Y_DG,Figure 07/Table 04,Report 1,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by demographic group",UG,ALL,Occupation
EMP_PGC_ALL_2Y_DG,Figure 08/Table 05,Report 1,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by demographic group",PGC,ALL,Occupation
EMP_PGR_ALL_2Y_DG,,Report 1,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by demographic group",PGR,ALL,Occupation
EMP_UG_ALL_1Y_FTS,,,"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by full-time study status by gender, 2024",UG,ALL,Occupation
EMP_PGC_ALL_1Y_FTS,,,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate coursework students from all provider types by full-time study status by gender, 2024",PGC,ALL,Occupation
EMP_PGR_ALL_1Y_FTS,,,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate research students from all provider types by full-time study status by gender, 2024",PGR,ALL,Occupation
EMP_UG_ALL_2Y_AREA45,,Report 3,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by 45 study areas",UG,ALL,Occupation
EMP_PGC_ALL_2Y_AREA45,,Report 3,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by 45 study areas",PGC,ALL,Occupation
EMP_PGR_ALL_2Y_AREA45,,Report 3,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by 45 study areas",PGR,ALL,Occupation
EMP_UG_UNI_2Y_AREA,,,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from universities by study area",UG,UNI,Occupation
EMP_UG_NUHEI_2Y_AREA,,,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by study area",UG,NUHEI,Occupation
EMP_UG_UNI_2Y_DG,,,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from universities by demographic group",UG,UNI,Occupation
EMP_UG_NUHEI_2Y_DG,,,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by demographic group",UG,NUHEI,Occupation
EMP_UG_ALL_3Y_PERIOD,Table 01/Figure 01-05,,"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by survey round, 2022-2024",UG,ALL,Occupation
EMP_PGC_ALL_3Y_PERIOD,Figure 02-05,,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate coursework students from all provider types by survey round, 2022-2024",PGC,ALL,Occupation
EMP_PGR_ALL_3Y_PERIOD,Figure 02-05,,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate research students from all provider types by survey round, 2022-2024",PGR,ALL,Occupation
SAL_UG_ALL_2Y_AREA_E315,Table 07,Report 4,"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by study area",UG,ALL,Labour force outcomes
SAL_PGC_ALL_2Y_AREA_E315,,Report 4,"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate coursework students from all provider types by study area",PGC,ALL,Labour force outcomes
SAL_PGR_ALL_2Y_AREA_E315,,Report 4,"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate research students from all provider types by study area",PGR,ALL,Labour force outcomes
SAL_UG_ALL_2Y_DG_E315,Figure 09,Report 1,"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by demographic group",UG,ALL,Labour force outcomes
SAL_PGC_ALL_2Y_DG_E315,Figure 09,Report 1,"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate coursework students from all provider types by demographic group",PGC,ALL,Labour force outcomes
SAL_PGR_ALL_2Y_DG_E315,Figure 09,Report 1,"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate research students from all provider types by demographic group",PGR,ALL,Labour force outcomes
SAL_UG_ALL_2Y_AREA45_E315,,Report 5,"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by 45 study areas",UG,ALL,Labour force outcomes
SAL_PGC_ALL_2Y_AREA45_E315,,Report 5,"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate coursework students from all provider types by 45 study areas",PGC,ALL,Labour force outcomes
SAL_PGR_ALL_2Y_AREA45_E315,,Report 5,"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate research students from all provider types by 45 study areas",PGR,ALL,Labour force outcomes
LF_UG_UNI_1Y_INST_CI,,,"Employment outcomes (FTE, OE, LF, SAL), 2024 among undergraduates from universities by institution",UG,UNI,Labour force outcomes
LF_UG_UNI_3YP_INST_CI,,,"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among undergraduates from universities by institution",UG,UNI,Labour force outcomes
LF_PGC_UNI_1Y_INST_CI,,,"Employment outcomes (FTE, OE, LF, SAL), 2024 among postgraduate coursework students from universities by institution",PGC,UNI,Labour force outcomes
LF_PGC_UNI_3YP_INST_CI,,,"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate coursework students from universities by institution",PGC,UNI,Labour force outcomes
LF_PGR_UNI_3YP_INST_CI,,,"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate research students from universities by institution",PGR,UNI,Labour force outcomes
