"Employment outcomes (FTE, OE, LF, SAL), 2024 among postgraduate coursework students from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Australian Catholic University,"92.7 (90.8, 94.2)","94.7 (93.2, 95.8)","94.3 (92.9, 95.4)","101,700 (97,000, 106,500)"
,Avondale University,,,,
,Bond University,"87.9 (81.7, 92.0)","90.1 (85.0, 93.3)","92.5 (88.0, 95.1)","85,500 (80,700, 90,300)"
,Central Queensland University,"90.1 (87.2, 92.2)","93.3 (91.2, 94.7)","96.8 (95.2, 97.6)","105,000 (97,100, 112,800)"
,Charles Darwin University,"89.0 (84.8, 91.8)","94.6 (91.8, 96.1)","94.4 (91.7, 95.8)","107,200 (100,200, 114,300)"
,Charles Sturt University,"92.5 (91.2, 93.5)","94.2 (93.2, 95.0)","96.6 (95.8, 97.2)","107,200 (103,800, 110,700)"
,Curtin University,"85.9 (83.3, 88.1)","93.0 (91.3, 94.3)","95.3 (93.8, 96.3)","91,500 (87,300, 95,600)"
,Deakin University,"86.5 (85.1, 87.8)","92.2 (91.3, 93.0)","94.9 (94.1, 95.5)","104,000 (100,200, 107,800)"
,Edith Cowan University,"87.0 (84.7, 88.8)","92.5 (91.1, 93.6)","95.7 (94.6, 96.5)","105,700 (100,000, 111,400)"
,Federation University Australia,"89.8 (85.7, 92.6)","95.1 (92.7, 96.5)","97.4 (95.4, 98.3)","104,200 (99,400, 109,000)"
,Flinders University,"89.2 (87.0, 90.9)","95.6 (94.4, 96.4)","95.2 (94.1, 96.1)","96,000 (92,300, 99,700)"
,Griffith University,"89.4 (87.5, 91.0)","93.8 (92.5, 94.8)","95.3 (94.2, 96.1)","101,600 (98,200, 105,100)"
,James Cook University,"89.0 (86.4, 91.0)","94.0 (92.3, 95.2)","94.5 (93.0, 95.6)","114,500 (108,200, 120,800)"
,La Trobe University,"88.2 (85.8, 90.0)","93.7 (92.3, 94.7)","96.4 (95.4, 97.2)","96,500 (92,100, 100,900)"
,Macquarie University,"85.8 (83.0, 88.0)","92.6 (90.7, 94.0)","95.1 (93.5, 96.2)","99,100 (93,200, 105,100)"
,Monash University,"84.5 (83.1, 85.7)","91.0 (90.1, 91.8)","95.8 (95.1, 96.3)","96,100 (92,900, 99,200)"
,Murdoch University,"86.5 (81.5, 90.0)","93.1 (89.6, 95.1)","91.9 (88.5, 94.0)","96,000 (87,300, 104,700)"
,Queensland University of Technology,"89.1 (87.7, 90.3)","94.3 (93.3, 95.1)","97.0 (96.3, 97.5)","112,900 (109,300, 116,400)"
,RMIT University,"84.9 (83.2, 86.3)","89.7 (88.4, 90.8)","96.8 (96.0, 97.4)","100,000 (97,900, 102,100)"
,Southern Cross University,"89.9 (87.3, 91.9)","92.2 (90.1, 93.7)","95.7 (94.0, 96.7)","116,700 (109,800, 123,500)"
,Swinburne University of Technology,"85.2 (82.4, 87.5)","91.9 (89.9, 93.3)","94.2 (92.6, 95.4)","85,000 (80,800, 89,200)"
,The Australian National University,"89.0 (86.4, 91.0)","91.9 (89.7, 93.4)","95.3 (93.6, 96.4)","100,000 (95,900, 104,100)"
,The University of Adelaide,"83.6 (81.0, 85.9)","91.3 (89.6, 92.6)","95.5 (94.2, 96.4)","96,000 (91,300, 100,700)"
,The University of Melbourne,"83.6 (82.4, 84.7)","90.9 (90.1, 91.6)","95.0 (94.3, 95.5)","94,000 (91,600, 96,300)"
,The University of Notre Dame Australia,"90.5 (87.7, 92.5)","93.3 (91.2, 94.7)","94.4 (92.6, 95.7)","102,100 (95,400, 108,800)"
