"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate coursework students from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Australian Catholic University,"94.2 (93.2, 95.0)","96.5 (95.8, 97.0)","94.6 (93.9, 95.3)","94,800 (92,100, 97,500)"
,Avondale University,"95.2 (87.0, 98.0)","98.2 (92.5, 99.3)","91.7 (85.0, 94.7)","81,100 (70,900, 91,300)"
,Bond University,"88.0 (85.0, 90.3)","90.3 (87.9, 92.3)","94.2 (92.3, 95.6)","80,900 (78,900, 82,800)"
,Central Queensland University,"91.2 (89.7, 92.5)","93.7 (92.6, 94.6)","96.3 (95.5, 97.0)","100,900 (97,700, 104,100)"
,Charles Darwin University,"88.8 (86.6, 90.6)","94.7 (93.2, 95.7)","95.1 (93.8, 96.0)","98,100 (93,600, 102,500)"
,Charles Sturt University,"92.3 (91.6, 92.9)","94.6 (94.1, 95.0)","95.9 (95.4, 96.3)","104,400 (103,100, 105,600)"
,Curtin University,"87.8 (86.5, 89.0)","94.4 (93.6, 95.1)","95.7 (95.0, 96.3)","89,000 (86,100, 91,900)"
,Deakin University,"88.4 (87.7, 89.0)","93.1 (92.6, 93.5)","95.4 (95.0, 95.7)","98,000 (96,100, 99,900)"
,Edith Cowan University,"88.8 (87.7, 89.9)","93.4 (92.6, 94.0)","96.0 (95.4, 96.5)","100,000 (98,100, 101,900)"
,Federation University Australia,"91.6 (89.4, 93.3)","95.8 (94.4, 96.7)","95.6 (94.3, 96.6)","97,200 (93,000, 101,400)"
,Flinders University,"90.3 (89.2, 91.3)","95.1 (94.4, 95.6)","95.5 (94.9, 96.0)","93,900 (91,800, 96,000)"
,Griffith University,"88.6 (87.5, 89.5)","92.9 (92.1, 93.5)","95.7 (95.2, 96.2)","95,000 (92,700, 97,300)"
,James Cook University,"91.0 (89.8, 92.1)","94.4 (93.5, 95.1)","94.8 (94.1, 95.5)","108,500 (105,800, 111,200)"
,La Trobe University,"87.5 (86.1, 88.8)","93.6 (92.7, 94.3)","96.3 (95.6, 96.8)","90,000 (88,100, 91,900)"
,Macquarie University,"86.5 (85.1, 87.7)","91.9 (90.9, 92.7)","95.4 (94.7, 96.0)","97,000 (93,300, 100,700)"
,Monash University,"86.2 (85.5, 87.0)","92.3 (91.8, 92.8)","95.0 (94.6, 95.4)","92,300 (90,900, 93,800)"
,Murdoch University,"86.3 (83.9, 88.4)","92.8 (91.2, 94.0)","93.7 (92.3, 94.8)","92,000 (87,500, 96,500)"
,Queensland University of Technology,"91.2 (90.5, 91.9)","95.0 (94.5, 95.4)","96.7 (96.3, 97.1)","105,100 (103,300, 106,800)"
,RMIT University,"87.1 (86.2, 87.9)","91.5 (90.9, 92.1)","96.6 (96.2, 97.0)","95,000 (92,800, 97,200)"
,Southern Cross University,"91.7 (90.5, 92.8)","94.4 (93.5, 95.2)","96.0 (95.2, 96.6)","108,800 (105,600, 112,000)"
,Swinburne University of Technology,"86.7 (85.2, 88.1)","92.0 (90.9, 92.9)","94.2 (93.3, 94.9)","90,000 (87,300, 92,700)"
,The Australian National University,"88.9 (87.5, 90.1)","93.1 (92.0, 93.9)","95.8 (94.9, 96.4)","97,800 (94,900, 100,700)"
,The University of Adelaide,"87.3 (85.9, 88.6)","92.1 (91.1, 93.0)","95.6 (94.9, 96.2)","89,700 (87,200, 92,300)"
,The University of Melbourne,"86.9 (86.3, 87.5)","92.2 (91.8, 92.5)","95.5 (95.2, 95.8)","90,000 (89,400, 90,600)"
,The University of Notre Dame Australia,"92.5 (90.9, 93.7)","95.3 (94.2, 96.2)","95.0 (93.9, 95.9)","93,900 (88,700, 99,200)"
