"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from non-university higher education institutes (NUHEIs) by gender, 2023-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
2023,Male,63.5,81.6,90.5,"68,600"
2023,Female,67.0,84.3,88.5,"65,000"
2023,Total,65.3,83.4,89.3,"65,600"
2024,Male,59.6,79.2,90.3,"73,100"
2024,Female,63.7,81.8,90.0,"67,800"
2024,Total,61.8,80.8,89.9,"70,000"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, NUHEI: HEPTYPE = 2, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
YEAR,,,,,
Gender: E315,,,,,
