"Employment outcomes (FTE, OE, LF, SAL), 2024 among undergraduates from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Australian Catholic University,"79.4 (77.4, 81.3)","90.1 (88.9, 91.1)","94.0 (93.1, 94.8)","75,000 (73,900, 76,100)"
,Avondale University,"88.1 (78.4, 93.1)","94.8 (88.5, 97.1)","96.7 (91.0, 98.3)","71,000 (69,100, 72,900)"
,Bond University,"76.3 (68.3, 82.5)","84.0 (78.5, 88.1)","95.2 (91.3, 97.1)","73,000 (68,300, 77,700)"
,Central Queensland University,"83.6 (81.6, 85.4)","92.2 (91.0, 93.1)","95.5 (94.6, 96.2)","81,500 (79,900, 83,000)"
,Charles Darwin University,"84.9 (82.7, 86.8)","90.4 (89.0, 91.6)","94.4 (93.3, 95.2)","77,000 (75,400, 78,600)"
,Charles Sturt University,"89.1 (87.7, 90.4)","92.7 (91.6, 93.5)","94.9 (94.0, 95.6)","78,300 (77,000, 79,500)"
,Curtin University,"80.1 (78.0, 82.1)","88.9 (87.4, 90.2)","90.2 (88.8, 91.3)","76,800 (75,100, 78,500)"
,Deakin University,"72.8 (71.4, 74.3)","90.0 (89.2, 90.7)","93.9 (93.3, 94.5)","71,400 (70,100, 72,700)"
,Edith Cowan University,"75.3 (72.7, 77.7)","87.9 (86.3, 89.4)","94.3 (93.1, 95.2)","77,300 (75,700, 79,000)"
,Federation University Australia,"74.1 (70.4, 77.5)","88.3 (86.1, 90.0)","94.5 (92.9, 95.6)","75,700 (74,000, 77,300)"
,Flinders University,"70.7 (68.0, 73.2)","86.4 (84.8, 87.8)","91.6 (90.3, 92.6)","73,000 (71,900, 74,100)"
,Griffith University,"70.2 (68.1, 72.1)","87.8 (86.6, 88.9)","93.0 (92.1, 93.8)","75,000 (73,700, 76,300)"
,James Cook University,"86.8 (84.2, 88.9)","90.3 (88.4, 91.8)","94.5 (93.1, 95.6)","77,800 (75,700, 79,900)"
,La Trobe University,"74.0 (71.8, 76.2)","88.0 (86.7, 89.2)","93.2 (92.2, 94.0)","70,000 (69,100, 70,900)"
,Macquarie University,"66.7 (64.5, 68.9)","84.4 (82.9, 85.7)","92.4 (91.4, 93.3)","75,000 (73,000, 77,000)"
,Monash University,"73.2 (71.6, 74.7)","86.4 (85.4, 87.3)","90.8 (90.0, 91.5)","73,300 (72,200, 74,300)"
,Murdoch University,"70.1 (66.8, 73.2)","86.1 (84.0, 87.9)","92.9 (91.4, 94.1)","78,000 (76,100, 79,900)"
,Queensland University of Technology,"75.9 (74.4, 77.4)","88.3 (87.3, 89.2)","95.1 (94.4, 95.6)","74,000 (72,400, 75,600)"
,RMIT University,"60.8 (59.1, 62.5)","82.6 (81.4, 83.6)","93.3 (92.6, 93.9)","70,000 (68,900, 71,100)"
,Southern Cross University,"79.4 (76.4, 82.0)","88.5 (86.7, 90.1)","93.3 (91.9, 94.4)","73,500 (71,900, 75,200)"
,Swinburne University of Technology,"74.3 (72.2, 76.2)","88.0 (86.7, 89.2)","92.6 (91.6, 93.4)","77,900 (76,900, 78,900)"
,The Australian National University,"75.2 (72.3, 77.8)","85.9 (83.9, 87.7)","92.3 (90.8, 93.5)","76,000 (75,000, 77,000)"
,The University of Adelaide,"75.2 (72.9, 77.3)","86.1 (84.6, 87.4)","89.7 (88.5, 90.7)","72,900 (70,700, 75,100)"
,The University of Melbourne,"59.6 (57.3, 61.9)","83.6 (82.5, 84.6)","87.7 (86.8, 88.5)","68,500 (67,400, 69,600)"
,The University of Notre Dame Australia,"87.0 (84.1, 89.3)","91.8 (89.8, 93.2)","94.8 (93.3, 95.9)","73,000 (71,700, 74,400)"
