"Occupation level, full-time employed, 2024, among postgraduate coursework students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,18.8,60.3,7.9,1.3,10.5,1.3,100.0
,Architecture and built environment,10.9,57.0,20.5,1.4,7.8,2.4,100.0
,Business and management,39.5,46.0,1.4,1.5,10.0,1.7,100.0
,Communications,18.7,57.9,4.7,0.6,15.2,2.9,100.0
,Computing and information systems,16.4,68.3,5.3,1.9,6.2,1.9,100.0
,Creative arts,14.9,63.8,2.1,5.3,9.6,4.3,100.0
,Dentistry,1.9,86.5,0.0,11.5,0.0,0.0,100.0
,Engineering,13.0,70.6,8.7,1.9,3.6,2.3,100.0
,Health services and support,9.8,71.1,1.3,9.5,7.2,1.1,100.0
,"Humanities, culture and social sciences",18.0,56.8,1.4,8.5,13.7,1.5,100.0
,Law and paralegal studies,9.4,66.4,0.3,2.0,20.7,1.3,100.0
,Medicine,0.9,95.2,0.9,0.9,1.9,0.1,100.0
,Nursing,1.9,95.4,0.2,1.5,0.9,0.0,100.0
,Pharmacy,0.7,93.4,0.7,0.0,3.7,1.5,100.0
,Psychology,11.4,76.8,1.0,4.9,5.2,0.7,100.0
,Rehabilitation,0.9,96.5,0.0,1.3,1.3,0.0,100.0
,Science and mathematics,5.7,76.6,6.9,2.1,6.9,1.9,100.0
,Social work,9.5,74.3,0.4,9.3,5.8,0.7,100.0
,Teacher education,10.4,83.6,0.1,3.0,2.4,0.4,100.0
,"Tourism, hospitality, personal services, sport and recreation",,,,,,,
,Veterinary science,1.3,94.7,0.0,1.3,2.7,0.0,100.0
,Total,16.3,70.0,1.7,3.4,7.5,1.1,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
FULLEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
FULLEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
