"Occupation level, full-time employed, 2024, among postgraduate coursework students from all provider types by broad field of education",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,"Agriculture, environmental & related studies",18.8,60.3,7.9,1.3,10.5,1.3,100.0
,Architecture & building,10.9,57.0,20.5,1.4,7.8,2.4,100.0
,Creative arts,17.4,60.0,3.8,2.3,13.2,3.4,100.0
,Education,10.4,83.6,0.1,3.0,2.4,0.4,100.0
,Engineering & related technologies,13.0,70.6,8.7,1.9,3.6,2.3,100.0
,"Food, hospitality & personal services",,,,,,,
,Health,4.7,86.1,0.7,4.5,3.5,0.5,100.0
,Information technology,16.4,68.3,5.3,1.9,6.2,1.9,100.0
,Management & commerce,39.8,45.6,1.4,1.5,10.0,1.7,100.0
,Mixed field programmes,,,,,,,
,Natural & physical sciences,5.7,76.6,6.9,2.1,6.9,1.9,100.0
,Society & culture,12.0,67.7,0.7,5.3,13.1,1.1,100.0
,Total,16.3,70.0,1.7,3.4,7.5,1.1,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
FULLEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
FULLEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
BROADFOE,,,,,,,,
ANALYS12,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,,,,,,
