"Occupation level, full-time employed, 2024, among postgraduate research students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,1.4,73.2,2.8,1.4,15.5,5.6,100.0
,Architecture and built environment,,,,,,,
,Business and management,23.9,71.6,0.7,0.0,3.7,0.0,100.0
,Communications,,,,,,,
,Computing and information systems,9.1,87.3,0.0,0.0,1.8,1.8,100.0
,Creative arts,13.8,71.3,3.8,0.0,7.5,3.8,100.0
,Dentistry,,,,,,,
,Engineering,4.4,89.8,1.3,0.0,3.1,1.3,100.0
,Health services and support,12.5,82.1,2.2,1.6,1.6,0.0,100.0
,"Humanities, culture and social sciences",11.6,73.8,0.3,1.7,11.9,0.7,100.0
,Law and paralegal studies,11.9,81.0,2.4,0.0,4.8,0.0,100.0
,Medicine,5.3,86.5,1.9,0.0,5.8,0.5,100.0
,Nursing,8.9,84.4,0.0,0.0,6.7,0.0,100.0
,Pharmacy,8.8,73.5,2.9,0.0,11.8,2.9,100.0
,Psychology,2.3,91.4,0.0,0.0,6.3,0.0,100.0
,Rehabilitation,,,,,,,
,Science and mathematics,3.8,85.1,4.0,0.2,6.2,0.7,100.0
,Social work,,,,,,,
,Teacher education,20.4,73.2,0.0,2.1,4.2,0.0,100.0
,"Tourism, hospitality, personal services, sport and recreation",,,,,,,
,Veterinary science,,,,,,,
,Total,8.7,81.8,1.9,0.6,6.3,0.8,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
FULLEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
FULLEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
