"Occupation level, full-time employed, 2024, among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,10.9,49.3,8.4,5.4,11.4,14.6,100.0
,Architecture and built environment,14.0,39.6,21.5,2.2,17.4,5.4,100.0
,Business and management,11.8,55.7,1.9,3.5,21.6,5.5,100.0
,Communications,10.7,48.1,4.4,5.9,21.3,9.6,100.0
,Computing and information systems,4.5,77.2,7.5,1.7,5.5,3.5,100.0
,Creative arts,8.6,47.3,7.2,10.7,13.9,12.3,100.0
,Dentistry,0.0,48.1,0.9,50.9,0.0,0.0,100.0
,Engineering,4.0,82.6,6.9,0.9,2.5,3.1,100.0
,Health services and support,5.5,51.2,2.5,25.1,9.6,6.0,100.0
,"Humanities, culture and social sciences",8.2,47.0,2.5,10.9,24.8,6.6,100.0
,Law and paralegal studies,7.4,36.4,0.2,8.5,44.8,2.6,100.0
,Medicine,3.6,73.2,3.0,12.2,4.5,3.6,100.0
,Nursing,1.4,87.2,0.3,8.4,1.7,0.9,100.0
,Pharmacy,0.4,94.1,1.3,0.4,0.4,3.4,100.0
,Psychology,11.2,42.8,2.2,17.6,19.9,6.3,100.0
,Rehabilitation,0.5,95.9,0.1,1.8,0.4,1.2,100.0
,Science and mathematics,4.4,54.7,12.9,6.3,12.7,9.0,100.0
,Social work,4.0,66.1,1.0,19.7,7.7,1.4,100.0
,Teacher education,3.7,84.2,0.8,8.0,2.1,1.1,100.0
,"Tourism, hospitality, personal services, sport and recreation",11.2,32.6,9.0,20.2,13.5,13.5,100.0
,Veterinary science,1.9,72.5,21.9,0.0,0.6,3.1,100.0
,Total,7.0,61.8,4.2,8.9,13.0,5.1,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
FULLEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
FULLEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
