"Occupation level, overall employed, 2024, among postgraduate coursework students from all provider types by broad field of education",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,"Agriculture, environmental & related studies",16.3,57.2,8.5,2.0,11.1,4.9,100.0
,Architecture & building,10.8,54.4,19.4,2.2,6.7,6.4,100.0
,Creative arts,14.0,57.2,3.1,6.0,12.7,6.9,100.0
,Education,8.6,83.4,0.3,4.3,2.6,0.8,100.0
,Engineering & related technologies,12.5,69.6,8.9,1.9,3.6,3.4,100.0
,"Food, hospitality & personal services",,,,,,,
,Health,3.8,86.3,0.8,4.6,3.5,1.0,100.0
,Information technology,15.4,65.7,5.3,3.0,7.2,3.3,100.0
,Management & commerce,38.3,46.3,1.3,1.9,10.1,2.1,100.0
,Mixed field programmes,,,,,,,
,Natural & physical sciences,4.7,72.4,7.2,3.2,8.1,4.4,100.0
,Society & culture,10.3,65.8,0.8,7.9,12.8,2.4,100.0
,Total,13.7,70.5,1.7,4.7,7.4,2.0,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
BROADFOE,,,,,,,,
ANALYS12,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,,,,,,
