"Occupation level, overall employed, 2024, among postgraduate research students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,1.1,76.4,4.5,1.1,12.4,4.5,100.0
,Architecture and built environment,6.7,83.3,3.3,0.0,6.7,0.0,100.0
,Business and management,21.9,74.6,0.6,0.0,3.0,0.0,100.0
,Communications,5.6,86.1,0.0,2.8,5.6,0.0,100.0
,Computing and information systems,8.7,88.4,0.0,0.0,1.4,1.4,100.0
,Creative arts,10.1,73.2,4.3,0.7,7.2,4.3,100.0
,Dentistry,,,,,,,
,Engineering,4.5,89.0,1.5,0.0,3.0,1.9,100.0
,Health services and support,10.7,81.6,1.6,1.6,4.5,0.0,100.0
,"Humanities, culture and social sciences",9.2,74.9,0.4,3.5,10.0,2.0,100.0
,Law and paralegal studies,9.1,85.5,1.8,0.0,3.6,0.0,100.0
,Medicine,4.6,86.1,1.5,0.0,7.3,0.4,100.0
,Nursing,7.7,84.6,0.0,0.0,7.7,0.0,100.0
,Pharmacy,7.5,75.0,5.0,0.0,10.0,2.5,100.0
,Psychology,1.7,91.6,0.0,0.6,5.6,0.6,100.0
,Rehabilitation,,,,,,,
,Science and mathematics,3.6,83.9,4.7,0.6,6.1,1.1,100.0
,Social work,,,,,,,
,Teacher education,16.6,76.9,0.0,2.5,4.0,0.0,100.0
,"Tourism, hospitality, personal services, sport and recreation",,,,,,,
,Veterinary science,,,,,,,
,Total,7.6,81.8,2.0,1.1,6.3,1.2,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
