"Occupation level, overall employed, 2024, among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,9.2,41.6,9.1,9.9,11.2,18.9,100.0
,Architecture and built environment,11.0,33.6,19.1,6.6,14.9,14.8,100.0
,Business and management,10.6,47.4,2.1,6.5,21.4,12.0,100.0
,Communications,8.1,37.5,4.3,10.5,18.2,21.3,100.0
,Computing and information systems,4.1,65.0,7.3,4.3,6.4,12.8,100.0
,Creative arts,5.1,39.1,6.3,15.5,9.6,24.4,100.0
,Dentistry,0.0,37.7,0.6,58.5,1.3,1.9,100.0
,Engineering,3.9,75.6,7.0,2.7,3.1,7.8,100.0
,Health services and support,4.9,41.6,3.2,29.2,9.8,11.3,100.0
,"Humanities, culture and social sciences",6.5,35.4,2.6,17.0,22.1,16.3,100.0
,Law and paralegal studies,6.7,31.1,0.9,9.5,45.2,6.6,100.0
,Medicine,3.2,59.8,4.8,18.6,6.6,7.0,100.0
,Nursing,1.1,85.5,0.4,9.9,1.4,1.7,100.0
,Pharmacy,0.8,90.2,2.6,0.4,1.5,4.5,100.0
,Psychology,7.6,32.6,2.0,26.2,17.8,13.8,100.0
,Rehabilitation,0.5,92.7,0.1,3.8,0.6,2.3,100.0
,Science and mathematics,4.0,39.8,11.7,13.0,13.1,18.5,100.0
,Social work,3.4,57.1,1.0,26.6,7.9,4.1,100.0
,Teacher education,3.4,76.9,0.8,13.0,2.6,3.3,100.0
,"Tourism, hospitality, personal services, sport and recreation",8.7,25.5,6.0,32.9,14.8,12.1,100.0
,Veterinary science,2.3,58.7,25.8,2.3,1.9,8.9,100.0
,Total,5.7,52.0,4.3,13.9,12.5,11.6,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
