"Occupation level, overall employed, 2024, among undergraduates from all provider types by 45 study areas",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
Agriculture and environmental studies,Agriculture and forestry,12.6,38.1,10.9,7.5,11.5,19.5,100.0
Agriculture and environmental studies,Architecture and urban environments,6.1,40.1,17.1,8.6,9.1,19.0,100.0
Architecture and built environment,Building and construction,21.0,19.7,24.0,2.3,27.3,5.7,100.0
Architecture and built environment,Environmental studies,5.1,45.4,7.0,13.2,11.0,18.3,100.0
Business and management,Accounting,7.5,62.6,1.4,3.5,18.1,6.9,100.0
Business and management,Banking and finance,4.9,61.3,0.7,3.8,21.0,8.3,100.0
Business and management,Business management,14.7,34.0,2.9,9.2,24.0,15.0,100.0
Business and management,Economics,4.0,58.5,1.5,6.5,21.1,8.6,100.0
Business and management,Sales and marketing,13.2,44.3,1.8,6.6,17.2,16.9,100.0
Business and management,Management and commerce - other,6.6,60.5,1.4,3.9,19.1,8.5,100.0
Communications,"Communication, media and journalism",8.1,37.7,4.3,10.6,18.2,21.1,100.0
Computing and information systems,Computing and information systems,4.1,65.1,7.4,4.2,6.3,12.8,100.0
Creative arts,Art and design,5.5,36.6,6.5,14.8,9.5,27.2,100.0
Creative arts,Music and performing arts,4.5,43.9,6.1,16.8,9.6,19.1,100.0
Dentistry,Dentistry,0.0,37.7,0.6,58.5,1.3,1.9,100.0
Engineering,Engineering - aerospace,6.7,55.5,3.0,8.5,6.7,19.5,100.0
Engineering,Engineering - civil,4.9,77.0,7.3,1.6,3.5,5.7,100.0
Engineering,Engineering - electrical and electronic,2.8,82.7,6.9,1.7,1.2,4.7,100.0
Engineering,Engineering - mechanical,3.5,78.1,6.6,1.7,3.1,6.9,100.0
Engineering,Engineering - process and resources,0.0,78.7,6.6,5.1,2.9,6.6,100.0
Engineering,Engineering - other,4.1,74.7,7.7,2.5,3.0,8.0,100.0
Health services and support,Health services and support,4.4,41.9,3.2,30.4,8.7,11.4,100.0
Health services and support,Public health,8.1,40.5,2.9,20.6,17.7,10.3,100.0
"Humanities, culture and social sciences","Humanities, history and geography",6.2,35.0,2.8,17.8,21.7,16.6,100.0
"Humanities, culture and social sciences",Language and literature,9.4,34.3,2.4,17.5,18.6,17.8,100.0
"Humanities, culture and social sciences",Political science,6.9,40.2,1.3,10.7,27.8,13.1,100.0
Law and paralegal studies,Justice studies and policing,10.6,13.0,1.2,33.7,24.8,16.7,100.0
Law and paralegal studies,Law,5.9,34.6,0.8,4.4,50.1,4.1,100.0
Medicine,Medicine,3.3,62.4,4.3,17.9,6.7,5.3,100.0
Medicine,Nursing,1.1,85.5,0.4,9.9,1.4,1.7,100.0
Pharmacy,Pharmacy,0.8,90.2,2.6,0.4,1.5,4.5,100.0
Psychology,Psychology,7.6,32.6,2.0,26.1,17.9,13.7,100.0
Rehabilitation,Occupational therapy,0.4,93.3,0.0,4.0,0.2,2.1,100.0
Rehabilitation,Physiotherapy,0.6,91.8,0.3,3.7,1.1,2.5,100.0
Science and mathematics,Biological sciences,3.9,26.6,13.0,18.5,14.5,23.5,100.0
Science and mathematics,Mathematics,1.8,79.0,1.5,4.1,4.4,9.2,100.0
Science and mathematics,Medical sciences and technology,4.6,32.9,15.4,13.1,16.4,17.6,100.0
Science and mathematics,Natural and physical sciences,3.9,45.4,10.5,11.1,11.4,17.8,100.0
Social work,Social work,3.3,57.1,1.0,26.6,7.9,4.1,100.0
Teacher education,Teacher education - early childhood,4.9,69.4,0.1,22.8,1.9,1.0,100.0
Teacher education,Teacher education - primary and secondary,1.7,89.5,0.6,5.0,1.4,1.7,100.0
Teacher education,Teacher education - other,5.2,58.9,1.7,20.1,5.7,8.5,100.0
"Tourism, hospitality, personal services, sport and recreation",Sport and recreation,8.1,12.8,3.5,41.9,16.3,17.4,100.0
"Tourism, hospitality, personal services, sport and recreation","Tourism, hospitality and personal services",9.5,42.9,9.5,20.6,12.7,4.8,100.0
Veterinary science,Veterinary science,2.4,59.2,25.6,2.4,1.9,8.5,100.0
,Total,5.7,52.0,4.3,13.9,12.5,11.6,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS45 = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA45,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate completes combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only.",,,,,,,,
