"Occupation level among undergraduates and all provider types by employment outcomes (FTE, OE) by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment – Male,Full-time employment – Female,Full-time employment – Total,Overall employment – Male,Overall employment – Female,Overall employment – Total
,Managers,7.9,6.5,7.0,6.6,5.3,5.7
,Professionals,61.9,61.7,61.8,51.8,52.1,52.0
,Technicians and Trades Workers,6.7,2.9,4.2,6.6,3.2,4.3
,Community and Personal Service Workers,7.0,10.0,8.9,11.2,15.2,13.9
,Clerical and Administrative Workers,10.2,14.5,13.0,9.6,13.8,12.5
,Other occupations,6.4,4.4,5.1,14.2,10.4,11.6
,All,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FT: FULLEMP = 1,,,,,,,
OE: GENEMP = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
ANZSCO,,,,,,,
