"Occupation level among undergraduates and universities by employment outcomes (FTE, OE) by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment – Male,Full-time employment – Female,Full-time employment – Total,Overall employment – Male,Overall employment – Female,Overall employment – Total
,Managers,7.7,6.4,6.9,6.6,5.2,5.6
,Professionals,62.5,62.2,62.3,52.5,52.5,52.5
,Technicians and Trades Workers,6.5,2.9,4.2,6.3,3.2,4.2
,Community and Personal Service Workers,6.9,9.8,8.8,10.9,15.0,13.7
,Clerical and Administrative Workers,10.3,14.5,13.0,9.8,13.9,12.6
,Other occupations,6.1,4.3,4.9,13.9,10.2,11.4
,All,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FT: FULLEMP = 1,,,,,,,
OE: GENEMP = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
ANZSCO,,,,,,,
