"Proportion of employed seeking or not seeking more hours among postgraduate coursework students and all provider types by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Male,Female,Total part-time employed
,Seeking more hours,6.1,8.4,7.7
,Not seeking more hours,5.2,16.7,13.1
,,,,
Column variables:,,,,
Gender: E315,,,,
YEAR,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,
,,,,
Row variables:,,,,
GENEMP,,,,
LFCLASS,,,,
,,,,
Row filters:,,,,
GENEMP = 1,,,,
