"Proportion of employed seeking or not seeking more hours among postgraduate research students and all provider types by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Male,Female,Total part-time employed
,Seeking more hours,9.1,11.6,10.6
,Not seeking more hours,5.9,14.5,11.0
,,,,
Column variables:,,,,
Gender: E315,,,,
YEAR,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,
,,,,
Row variables:,,,,
GENEMP,,,,
LFCLASS,,,,
,,,,
Row filters:,,,,
GENEMP = 1,,,,
