"Importance of qualification among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
,Very important,25.6,25.7
,Important,20.0,19.6
,Fairly important,21.8,20.6
,Not that important,20.6,20.2
,Not at all important,12.2,13.8
,All,100.0,100.0
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,
,,,
Row variables:,,,
QUALIMP,,,
