"Importance of qualification among postgraduate research students and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
,Very important,34.7,32.0
,Important,20.1,21.0
,Fairly important,16.5,16.7
,Not that important,15.7,16.3
,Not at all important,13.0,13.9
,All,100.0,100.0
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,
,,,
Row variables:,,,
QUALIMP,,,
