"Response rates Nov 2023, Feb and May 2024 collections among postgraduate research students from all provider types by provider types",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Nov '2023,Feb '2024,May '2024,Total
,Universities,65.8,63.8,64.6,65.0
,NUHEIs,66.7,54.5,75.0,66.7
,All institutions,65.8,63.7,64.7,65.0
,,,,,
Column variables:,,,,,
NATCOMPLETE,,,,,
NATINSCOPE,,,,,
PERIOD,,,,,
YEAR,,,,,
,,,,,
Column filters:,,,,,
NATINSCOPE = 1,,,,,
,,,,,
Column notes:,,,,,
This table is constructed from the GOS operational file.,,,,,
Postgraduate research: LEVEL = 3,,,,,
,,,,,
Row variables:,,,,,
HEPTYPE,,,,,
,,,,,
Row notes:,,,,,
Universites: HEPTYPE = 1,,,,,
NUHEIs: HEPTYPE = 2,,,,,
