"Occupation does not fully use skills and education, and main reason for working in a job that doesn’t fully use skills and education, 2024 among postgraduate coursework students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Extent to which skills and education not fully used - Employed full-time,Extent to which skills and education not fully used - Overall employed,Main reason - no suitable jobs in my area of expertise - Employed full-time,Main reason - no suitable jobs in my area of expertise - Overall employed
,Agriculture and environmental studies,36.3,42.1,7.3,9.0
,Architecture and built environment,25.4,29.7,11.1,14.6
,Business and management,35.3,36.1,8.1,7.8
,Communications,44.7,50.6,14.3,15.4
,Computing and information systems,40.3,43.4,9.8,10.6
,Creative arts,37.1,40.3,21.2,21.0
,Dentistry,8.3,9.1,,
,Engineering,29.7,31.0,7.4,9.5
,Health services and support,26.7,29.4,9.6,12.0
,"Humanities, culture and social sciences",39.4,42.8,11.1,12.3
,Law and paralegal studies,29.0,30.6,7.7,8.5
,Medicine,10.1,12.2,11.3,11.6
,Nursing,14.9,15.7,13.7,12.7
,Pharmacy,13.1,15.0,,
,Psychology,31.5,37.1,7.7,7.0
,Rehabilitation,6.5,8.4,,
,Science and mathematics,35.2,40.2,11.5,11.6
,Social work,27.5,33.2,6.0,6.9
,Teacher education,24.1,25.4,9.1,8.1
,"Tourism, hospitality, personal services, sport and recreation",,,,
,Veterinary science,8.5,12.2,,
,Total,28.3,30.2,9.3,9.7
,,,,,
Column variables:,,,,,
FULLEMP,,,,,
GENEMP,,,,,
RSOVRQ,,,,,
SPOQSCL,,,,,
YEAR,,,,,
,,,,,
Column filters:,,,,,
FULLEMP = 1,,,,,
GENEMP = 1,,,,,
"RSOVRQ != (NA, 995, 999)",,,,,
"SPOQSCL != (NA, 995, 999)",,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
AREA,,,,,
,,,,,
Row notes:,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,
