"Reason working in a job that does not fully use skills and educations among undergraduates and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
Personal factors,     Studying,6.4,19.5
Personal factors,     I'm satisfied with my current job,14.0,10.0
Personal factors,     Do not have permanent residency,0.2,0.1
Personal factors,     Changing jobs/careers,8.7,8.5
Personal factors,     For financial reasons,6.8,4.7
Personal factors,     Travelling / gap year,1.4,1.3
Personal factors,     Caring for children or family member,1.7,1.9
Personal factors,     Short-term illness or injury,0.0,0.0
Personal factors,     Long-term health condition or disability,0.1,0.1
Personal factors,Sub total,39.2,46.2
Labour market factors,     No suitable jobs in my area of expertise,7.9,9.7
Labour market factors,     No suitable jobs in my local area,6.5,6.6
Labour market factors,     Considered to be too young by employers,2.3,1.5
Labour market factors,     Considered to be too old by employers,0.6,0.5
Labour market factors,     Not enough work experience,11.8,11.6
Labour market factors,     No jobs with a suitable number of hours,1.0,1.4
Labour market factors,     Cannot find a job,0.9,1.2
Labour market factors,     I had to change jobs due to COVID-19,0.3,0.2
Labour market factors,     Entry level job/career stepping stone,24.0,16.1
Labour market factors,Sub total,55.4,48.8
Other,     Did not mention that I have more skills or education than are needed to do my current job,0.0,0.0
Other,     Not sure what I want to do / still figuring it out,0.2,0.2
Other,     Already working in this job prior to obtaining skills or education,0.2,0.2
Other,     Working in own / family business,0.3,0.3
Other,     Haven't started looking for work yet/only just finished studying,0.1,0.1
Other,     My job is temporary/casual,0.4,0.5
Other,     Other (Please specify),0.9,0.9
Other,     I have skills that are not required in my current job,1.1,0.6
Other,     Waiting for accreditation/registration,2.2,2.2
Other,Sub total,5.4,5.0
,Total,100.0,100.0
,Extent to which skills and education are not fully utilised,28.3,39.3
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,
,,,
Row variables:,,,
RSOVRQ,,,
SPOQSC,,,
