"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate research students from all provider types by 45 study areas",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
Agriculture and environmental studies,Agriculture and forestry,,,,"92,500","96,300","96,000"
Agriculture and environmental studies,Architecture and urban environments,,,,,,
Architecture and built environment,Building and construction,,,,,,
Architecture and built environment,Environmental studies,,,,,"97,900","95,800"
Business and management,Accounting,,,,,,
Business and management,Banking and finance,,,,,,
Business and management,Business management,"127,300",,"112,500","117,400","120,000","125,700"
Business and management,Economics,,,,,,
Business and management,Sales and marketing,,,,,,
Business and management,Management and commerce - other,,,,,,
Communications,"Communication, media and journalism",,,,,,
Computing and information systems,Computing and information systems,"102,000","115,000",,,"102,000","108,500"
Creative arts,Art and design,,,,,"92,000","89,000"
Creative arts,Music and performing arts,,,,,"80,000","90,000"
Dentistry,Dentistry,,,,,,
Engineering,Engineering - aerospace,,,,,,
Engineering,Engineering - civil,"105,000",,,,"95,000","100,000"
Engineering,Engineering - electrical and electronic,,"98,800",,,"100,000","100,000"
Engineering,Engineering - mechanical,,,,,"99,100","108,200"
Engineering,Engineering - process and resources,"96,000","121,900","91,700",,"94,000","106,000"
Engineering,Engineering - other,,,,,"114,000",
Health services and support,Health services and support,"94,000",,"109,300","117,000","104,400","115,000"
Health services and support,Public health,"110,000","118,000","107,100","110,000","108,000","112,000"
"Humanities, culture and social sciences","Humanities, history and geography","97,200","90,300","95,500","100,000","96,000","94,500"
"Humanities, culture and social sciences",Language and literature,,,,,,
"Humanities, culture and social sciences",Political science,,,,,,
Law and paralegal studies,Justice studies and policing,,,,,,
Law and paralegal studies,Law,,,,,"107,600","115,000"
Medicine,Medicine,"119,500","143,500","102,100","110,000","106,100","115,000"
Medicine,Nursing,,,"116,500","120,900","119,000","123,000"
Pharmacy,Pharmacy,,,,,,"93,000"
Psychology,Psychology,"95,500","110,000","94,000","108,000","95,000","108,000"
Rehabilitation,Occupational therapy,,,,,,
Rehabilitation,Physiotherapy,,,,,,
Science and mathematics,Biological sciences,"94,000","95,000","92,000","97,300","92,000","96,400"
Science and mathematics,Mathematics,,,,,,
Science and mathematics,Medical sciences and technology,,,"92,000","101,000","94,800","101,000"
Science and mathematics,Natural and physical sciences,"93,500","97,500","93,900","94,000","93,900","97,000"
Social work,Social work,,,,,,
Teacher education,Teacher education - early childhood,,,,,,
Teacher education,Teacher education - primary and secondary,,,,,,
Teacher education,Teacher education - other,"111,000","122,500","110,200","120,000","110,200","120,000"
"Tourism, hospitality, personal services, sport and recreation",Sport and recreation,,,,,,
"Tourism, hospitality, personal services, sport and recreation","Tourism, hospitality and personal services",,,,,,
Veterinary science,Veterinary science,,,,,,
,Total,"100,000","106,200","98,000","102,000","100,000","104,400"
,Standard deviation,"30,800","24,000","19,000","18,300","22,400","14,600"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYS45 = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA45,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a graduate completes combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only.",,,,,,,
