"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among postgraduate research students from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Median annual full-time salaries ($)
,The University of Notre Dame Australia,"122,000 (100,400, 143,600)"
,University of Southern Queensland,"114,000 (107,000, 121,000)"
,Charles Darwin University,"112,000 (102,400, 121,600)"
,Australian Catholic University,"110,900 (100,300, 121,500)"
,Southern Cross University,"108,000 (91,700, 124,300)"
,University of Canberra,"108,000 (98,700, 117,300)"
,Swinburne University of Technology,"106,000 (99,000, 113,000)"
,The University of Sydney,"105,000 (103,100, 106,900)"
,University of Wollongong,"104,000 (99,800, 108,200)"
,University of New England,"103,000 (96,300, 109,700)"
,University of the Sunshine Coast,"103,000 (95,200, 110,700)"
,Central Queensland University,"102,600 (84,200, 121,000)"
,The Australian National University,"102,500 (99,700, 105,300)"
,Charles Sturt University,"102,500 (96,600, 108,400)"
,University of New South Wales,"102,300 (99,600, 105,000)"
,Edith Cowan University,"101,000 (94,400, 107,600)"
,The University of Melbourne,"101,000 (98,700, 103,300)"
,Federation University Australia,"100,500 (84,500, 116,400)"
,Curtin University,"100,400 (96,400, 104,300)"
,The University of Western Australia,"100,000 (98,000, 102,000)"
,University of Technology Sydney,"100,000 (95,100, 104,900)"
,Victoria University,"100,000 (91,100, 108,900)"
,All universities,"100,000 (99,900, 100,100)"
,University of Newcastle,"99,700 (95,500, 104,000)"
,Western Sydney University,"99,400 (95,400, 103,300)"
,Flinders University,"99,100 (95,500, 102,800)"
,RMIT University,"99,100 (94,700, 103,500)"
,Queensland University of Technology,"99,100 (96,600, 101,600)"
,Griffith University,"99,000 (94,400, 103,600)"
,Monash University,"98,300 (96,800, 99,800)"
,La Trobe University,"97,700 (94,100, 101,300)"
,University of Tasmania,"96,500 (92,000, 100,900)"
,The University of Queensland,"96,000 (93,800, 98,200)"
,Deakin University,"95,000 (92,300, 97,700)"
,Macquarie University,"95,000 (91,100, 98,900)"
,The University of South Australia,"93,900 (90,600, 97,200)"
,James Cook University,"93,200 (86,600, 99,700)"
,The University of Adelaide,"92,000 (89,200, 94,800)"
,Murdoch University,"90,500 (83,900, 97,100)"
,Avondale University,
,Bond University,
,Torrens University,
,University of Divinity,
,,
Column variables:,,
FULLEMP,,
SALARYA,,
TRIMSAL_ALL,,
YEAR,,
,,
Column filters:,,
FULLEMP = 1,,
TRIMSAL_ALL = 1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
