"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by 45 study areas",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
Agriculture and environmental studies,Agriculture and forestry,"75,200","76,800","70,000","71,000","70,800","72,000"
Agriculture and environmental studies,Architecture and urban environments,"65,000","70,700","61,000","65,000","62,600","66,800"
Architecture and built environment,Building and construction,"80,000","83,500","75,000","80,000","78,000","81,600"
Architecture and built environment,Environmental studies,"72,000","70,000","71,300","70,000","71,600","70,000"
Business and management,Accounting,"65,200","67,000","65,200","72,000","65,200","70,000"
Business and management,Banking and finance,"72,000","74,000","71,000","76,000","71,500","75,000"
Business and management,Business management,"71,500","73,900","67,000","71,200","69,400","72,000"
Business and management,Economics,"73,000","76,000","71,000","73,100","72,000","75,000"
Business and management,Sales and marketing,"65,000","68,000","65,000","68,000","65,000","68,000"
Business and management,Management and commerce - other,"70,000","72,000","70,000","73,000","70,000","73,000"
Communications,"Communication, media and journalism","67,000","63,400","65,000","66,800","65,100","65,500"
Computing and information systems,Computing and information systems,"75,000","75,300","73,000","75,000","74,400","75,100"
Creative arts,Art and design,"61,500","64,900","57,000","62,000","59,500","62,600"
Creative arts,Music and performing arts,"60,000","66,600","59,500","61,000","60,000","63,000"
Dentistry,Dentistry,,,"93,900","97,300","94,400","103,300"
Engineering,Engineering - aerospace,"75,000","77,200",,,"74,000","76,500"
Engineering,Engineering - civil,"74,200","78,800","72,000","75,100","74,000","77,500"
Engineering,Engineering - electrical and electronic,"76,900","80,500","80,000","84,000","77,600","80,500"
Engineering,Engineering - mechanical,"75,400","77,800","75,900","77,500","75,400","77,800"
Engineering,Engineering - process and resources,"82,000","86,300","84,100","80,000","82,000","84,500"
Engineering,Engineering - other,"76,700","80,000","74,000","79,300","75,200","80,000"
Health services and support,Health services and support,"72,000","75,400","70,000","73,400","70,400","73,800"
Health services and support,Public health,"75,000","80,000","71,000","77,000","72,000","77,800"
"Humanities, culture and social sciences","Humanities, history and geography","72,000","74,000","67,800","73,000","70,000","73,100"
"Humanities, culture and social sciences",Language and literature,,"86,500","67,300","71,000","67,300","75,000"
"Humanities, culture and social sciences",Political science,"70,000","74,800","68,600","70,000","68,900","73,000"
Law and paralegal studies,Justice studies and policing,"80,000","85,000","65,300","76,800","76,800","82,500"
Law and paralegal studies,Law,"73,300","78,300","71,800","75,000","72,000","75,300"
Medicine,Medicine,"90,000","87,700","83,300","85,000","85,000","87,000"
Medicine,Nursing,"71,000","74,000","69,000","71,400","69,400","72,000"
Pharmacy,Pharmacy,"55,500","58,900","55,500","59,500","55,500","59,500"
Psychology,Psychology,"73,100","78,000","70,000","75,000","71,000","75,300"
Rehabilitation,Occupational therapy,"73,400","75,000","71,400","75,000","72,000","75,000"
Rehabilitation,Physiotherapy,"70,000","73,100","70,400","73,400","70,000","73,400"
Science and mathematics,Biological sciences,"68,700","67,800","64,000","65,200","65,400","65,400"
Science and mathematics,Mathematics,"75,000","76,500","73,000","78,900","73,100","77,000"
Science and mathematics,Medical sciences and technology,"68,000","75,000","65,700","67,100","66,800","69,100"
Science and mathematics,Natural and physical sciences,"71,000","76,000","69,400","73,000","70,000","75,000"
Social work,Social work,"77,300","82,200","77,300","81,500","77,300","82,000"
Teacher education,Teacher education - early childhood,,,"73,400","77,000","73,400","77,000"
Teacher education,Teacher education - primary and secondary,"75,800","80,000","75,000","79,700","75,000","80,000"
Teacher education,Teacher education - other,"78,000","84,600","75,000","78,400","75,600","80,000"
"Tourism, hospitality, personal services, sport and recreation",Sport and recreation,,,,,"58,100","62,600"
"Tourism, hospitality, personal services, sport and recreation","Tourism, hospitality and personal services",,,,,"70,500","65,100"
Veterinary science,Veterinary science,,,"66,800","70,000","67,400","70,000"
,Total,"73,100","76,200","70,000","73,400","71,000","75,000"
,Standard deviation,"8,200","8,700","7,300","7,200","6,900","7,600"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYS45 = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA45,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a graduate completes combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only.",,,,,,,
