"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among undergraduates from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Median annual full-time salaries ($)
,University of Southern Queensland,"78,600 (77,800, 79,500)"
,University of Tasmania,"78,300 (77,100, 79,500)"
,Central Queensland University,"77,700 (77,000, 78,500)"
,University of New England,"77,500 (75,800, 79,200)"
,Charles Darwin University,"75,100 (74,500, 75,800)"
,Charles Sturt University,"75,100 (74,500, 75,700)"
,University of New South Wales,"74,400 (73,400, 75,400)"
,Curtin University,"73,400 (72,300, 74,500)"
,James Cook University,"73,100 (71,700, 74,400)"
,Murdoch University,"73,000 (71,800, 74,200)"
,Southern Cross University,"73,000 (71,900, 74,100)"
,Swinburne University of Technology,"73,000 (72,100, 73,900)"
,Edith Cowan University,"72,900 (72,100, 73,700)"
,University of Canberra,"72,400 (71,600, 73,300)"
,The Australian National University,"71,900 (71,100, 72,700)"
,Federation University Australia,"71,400 (69,900, 72,900)"
,The University of Sydney,"71,200 (70,300, 72,100)"
,Monash University,"71,000 (70,200, 71,800)"
,University of Newcastle,"71,000 (70,300, 71,600)"
,All universities,"70,900 (70,600, 71,300)"
,Australian Catholic University,"70,500 (69,800, 71,100)"
,The University of Queensland,"70,400 (69,800, 71,100)"
,Avondale University,"70,200 (69,300, 71,100)"
,Flinders University,"70,000 (69,500, 70,500)"
,Griffith University,"70,000 (69,600, 70,400)"
,Macquarie University,"70,000 (69,500, 70,500)"
,Queensland University of Technology,"70,000 (69,700, 70,300)"
,The University of Notre Dame Australia,"70,000 (69,400, 70,600)"
,University of Divinity,"70,000 (60,600, 79,400)"
,University of the Sunshine Coast,"70,000 (69,400, 70,600)"
,University of Wollongong,"70,000 (69,700, 70,300)"
,Western Sydney University,"69,900 (69,300, 70,600)"
,La Trobe University,"69,400 (68,700, 70,100)"
,The University of Adelaide,"69,400 (68,200, 70,600)"
,The University of South Australia,"69,400 (68,800, 70,000)"
,University of Technology Sydney,"69,400 (68,600, 70,100)"
,Deakin University,"69,100 (68,200, 70,000)"
,Victoria University,"67,900 (66,200, 69,600)"
,The University of Western Australia,"67,000 (65,700, 68,300)"
,RMIT University,"66,000 (65,000, 67,000)"
,Bond University,"65,700 (63,000, 68,500)"
,The University of Melbourne,"65,200 (64,700, 65,700)"
,Torrens University,"60,800 (58,900, 62,700)"
,,
Column variables:,,
FULLEMP,,
SALARYA,,
TRIMSAL_ALL,,
YEAR,,
,,
Column filters:,,
FULLEMP = 1,,
TRIMSAL_ALL = 1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
