Satisfaction (% agreement) 2023-2024 among postgraduate coursework students from all provider types by demographic group,Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Overall satisfaction 2023,Overall satisfaction 2024
Gender,Male,79.2,77.5
Gender,Female,81.8,80.9
Age group,30 years or under,77.6,76.3
Age group,Over 30 years,83.7,82.7
Indigenous,Indigenous,85.7,82.0
Indigenous,Non-Indigenous,80.8,79.6
Home language,English,81.3,80.2
Home language,Language other than English,79.0,77.3
Disability,Disability reported,77.3,75.9
Disability,No disability reported,81.1,79.9
Study mode,Internal/Mixed study mode,79.1,77.7
Study mode,External study mode,83.3,82.6
First in family,First in family,82.3,81.0
First in family,Not first in family,79.8,78.6
Socio-economic status,High*,80.8,80.1
Socio-economic status,Medium*,83.0,82.3
Socio-economic status,Low*,83.5,82.0
Locality,Metro* †,81.7,81.0
Locality,Regional/Remote* †,83.7,82.9
Total,Total,80.9,79.7
,,,
Column variables:,,,
CEQ_OSI,,,
YEAR,,,
,,,
Column filters:,,,
"CEQOSI != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2",,,
,,,
Row variables:,,,
Gender: E315,,,
Mode of attendance: E329,,,
Indigenous indicator: E940,,,
English speaking indicator: E941,,,
Citizenship indicator: E942,,,
Disability indicator: E943,,,
FAMILYED,,,
FIRST_ASGS_METRO,,,
FIRST_ASGS_REGIONAL,,,
FIRST_ASGS_REMOTE,,,
FIRST_SES_SA1,,,
,,,
Row notes:,,,
30 years or under: e913 > 0 & e913 <= 30,,,
Over 30 years: e913 > 30,,,
"Internal/Mixed study mode: E329  = (1,3)",,,
"External study mode: E329  = (2,4,5)",,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,
