"Occupation does not fully use skills or education, 2024, among postgraduate coursework students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Employed full-time,Overall employed
,Agriculture and environmental studies,36.3,42.1
,Architecture and built environment,25.4,29.7
,Business and management,35.3,36.1
,Communications,44.7,50.6
,Computing and information systems,40.3,43.4
,Creative arts,37.1,40.3
,Dentistry,8.3,9.1
,Engineering,29.7,31.0
,Health services and support,26.7,29.4
,"Humanities, culture and social sciences",39.4,42.8
,Law and paralegal studies,29.0,30.6
,Medicine,10.1,12.2
,Nursing,14.9,15.7
,Pharmacy,13.1,15.0
,Psychology,31.5,37.1
,Rehabilitation,6.5,8.4
,Science and mathematics,35.2,40.2
,Social work,27.5,33.2
,Teacher education,24.1,25.4
,"Tourism, hospitality, personal services, sport and recreation",,
,Veterinary science,8.5,12.2
,Total,28.3,30.2
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
SPOQSCL,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"SPOQSCL != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
