"Occupation does not fully use skills or education, 2024, among postgraduate research students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Employed full-time,Overall employed
,Agriculture and environmental studies,29.6,31.8
,Architecture and built environment,,50.0
,Business and management,43.8,40.1
,Communications,,22.9
,Computing and information systems,28.8,28.8
,Creative arts,38.4,41.3
,Dentistry,,
,Engineering,31.5,31.9
,Health services and support,22.9,27.6
,"Humanities, culture and social sciences",44.4,43.6
,Law and paralegal studies,26.3,27.5
,Medicine,16.0,16.0
,Nursing,27.3,34.4
,Pharmacy,33.3,38.9
,Psychology,20.5,21.9
,Rehabilitation,,
,Science and mathematics,23.7,27.4
,Social work,,
,Teacher education,40.9,39.8
,"Tourism, hospitality, personal services, sport and recreation",,
,Veterinary science,,
,Total,29.7,31.5
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
SPOQSCL,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"SPOQSCL != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
