"Collection summary among all course levels from all provider types by GOS collection period, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Back to INDEX,,,,,,
,,,,,,
,,No. of participating institutions,No. of approached graduates,No. of in-scope graduates,No. of completed surveys,Overall response rate (%)
2023,November - University,42,96786,88120,32824,37.2
2023,November - NUHEIs,70,11008,9668,3419,35.4
2023,November - Total,112,107794,97788,36243,37.1
2024,February - University,34,21643,19607,7742,39.5
2024,February - NUHEIs,46,5050,4407,1537,34.9
2024,February - Total,80,26693,24014,9279,38.6
2024,May - University,42,189012,173613,68251,39.3
2024,May - NUHEIs,75,11654,10491,4021,38.3
2024,May - Total,117,200666,184104,72272,39.3
Total collection,University,42,307441,281340,108817,38.7
Total collection,NUHEIs,88,27712,24566,8977,36.5
Total collection,Total,130,335153,305906,117794,38.5
,,,,,,
Column variables:,,,,,,
E306,,,,,,
NATAPPROACH,,,,,,
NATCOMPLETE,,,,,,
NATINSCOPE,,,,,,
,,,,,,
Column filters:,,,,,,
NATAPPROACH = 1,,,,,,
NATCOMPLETE = 1,,,,,,
NATINSCOPE = 1,,,,,,
,,,,,,
Column notes:,,,,,,
This table is constructed from the GOS operational file.,,,,,,
"In-scope graduates excludes opt-outs, disqualified or out-of-scope surveys.",,,,,,
Data for all columns is filtered to: ANALYSIS = 1,,,,,,
,,,,,,
Row variables:,,,,,,
HEPTYPE,,,,,,
PERIOD,,,,,,
YEAR,,,,,,
,,,,,,
Row notes:,,,,,,
Universites: HEPTYPE = 1,,,,,,
NUHEIs: HEPTYPE = 2,,,,,,
