﻿Title:,"Table 1 - Graduate activities by provider and sex"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Sex,All 
,Interim study,Include significant interim study 
,Academic year,2022/23 
Search:,


"UKPRN","Provider Name","Full-time employment","Part-time employment","Unknown pattern of employment","Voluntary or unpaid work","Employmentand further study","Full-time further study","Part-time further study","Unknown pattern of further study","Other including travel, caring for someone or retired","Unemployed","Total with known outcomes","Non-respondents","Total"
"10008071","AA School of Architecture","55","15","0","0","5","5","0","0","5","5","90","335","425"
"10007783","The University of Aberdeen","1,275","220","15","25","215","190","10","0","110","160","2,225","2,625","4,850"
"10000055","Abingdon and Witney College","5","0","0","0","0","0","0","0","0","0","10","20","30"
"10007849","Abertay University","305","115","0","10","75","25","0","0","35","45","615","640","1,255"
"10007856","Aberystwyth University","480","155","5","25","140","140","10","0","75","95","1,125","900","2,025"
"10067853","ACM Guildford Limited","55","30","0","0","20","0","0","0","10","5","125","120","245"
"10004927","Activate Learning","45","20","5","0","20","10","0","0","10","5","110","185","295"
"10000163","AECC University College","80","25","0","0","20","0","0","0","5","0","135","180","315"
"10032036","Amity Global Education","10","0","0","0","5","0","0","0","5","0","20","10","30"
"10000291","Anglia Ruskin University","2,170","455","25","40","465","105","20","0","335","215","3,825","6,045","9,870"
"10041898","Apex College","0","5","0","0","0","0","0","0","0","0","10","30","35"
"10005451","Arden University","240","85","5","5","70","15","10","0","70","55","555","665","1,225"
"10000381","Arts Educational Schools","30","20","0","0","10","20","0","0","0","5","85","85","175"
"10008899","The Ashridge (Bonar Law Memorial) Trust","55","5","0","0","5","0","0","0","0","0","70","50","120"
"10003212","Hult International Business School Ltd","145","10","0","5","10","10","0","0","10","25","215","585","800"
"10000415","Askham Bryan College","40","10","5","5","5","5","0","0","5","0","70","95","165"
"10007759","Aston University","1,360","165","10","10","270","105","5","0","110","125","2,165","3,325","5,490"
"10000473","Aylesbury College","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10038772","British Academy of Jewellery Limited","0","0","0","0","5","0","0","0","0","0","10","10","15"
"10007857","Bangor University","595","165","5","20","125","95","5","0","70","70","1,150","1,950","3,100"
"10000536","Barnsley College","45","10","0","0","10","5","0","0","10","5","85","80","170"
"10000533","Barnet & Southgate College","10","5","0","0","0","0","0","0","5","0","25","15","40"
"10000560","Basingstoke College of Technology","20","0","0","0","5","0","0","0","0","0","20","30","50"
"10001465","Bath College","20","5","0","0","5","0","0","0","0","0","30","40","70"
"10000571","Bath Spa University","705","295","10","5","130","45","5","0","90","55","1,345","1,920","3,260"
