institution_tier,year,placement_rate,median_salary_inr,n_institutions
1,2016,0.9301067907995619,2227500.0,2
1,2017,0.7924288617886179,1963000.0,3
1,2018,0.8856360375673418,2100000.0,3
1,2019,0.8058139310955765,1916500.0,3
1,2020,0.8137111233708021,1835594.0,2
1,2021,0.8537922644517157,1850000.0,2
2,2017,0.7377483443708609,445000.0,1
2,2018,0.7876579203109816,450000.0,1
2,2019,0.6288760696345372,649500.0,1
2,2020,0.7180616740088106,640500.0,1
3,2016,0.04736842105263158,776000.0,1
3,2017,0.30540098199672666,715000.0,2
3,2018,0.46350931677018636,800000.0,2
3,2019,0.25830258302583026,488000.0,2
3,2020,0.3815399173809394,637500.0,2
3,2021,0.6171881672977821,710000.0,2
