"Proportion of employed who were away from work (FTE, PTE, OE) among postgraduate coursework students from all provider types by survey round, 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,In part-time employment (%),In full-time employment (%),Overall employed (%)
GOS 2022,November,6.2,2.1,3.0
GOS 2022,February,8.2,2.6,3.7
GOS 2022,May,6.0,2.5,3.3
GOS 2022,Total,6.3,2.4,3.2
GOS 2023,November,5.4,2.4,3.0
GOS 2023,February,8.7,2.7,3.8
GOS 2023,May,5.1,2.2,2.8
GOS 2023,Total,5.5,2.3,3.0
GOS 2024,November,5.1,2.6,3.2
GOS 2024,February,5.4,2.8,3.3
GOS 2024,May,5.0,2.3,2.9
GOS 2024,Total,5.1,2.4,3.0
,,,,
Column variables:,,,,
FULLEMP,,,,
AWAYWORK,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,
,,,,
Row variables:,,,,
PERIOD,,,,
YEAR,,,,
