"Proportion of employed who were away from work (FTE, PTE, OE) among undergraduates from all provider types by survey round, 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,In part-time employment (%),In full-time employment (%),Overall employed (%)
GOS 2022,November,7.5,1.5,3.6
GOS 2022,February,8.9,2.4,4.6
GOS 2022,May,5.9,1.7,3.2
GOS 2022,Total,6.4,1.7,3.3
GOS 2023,November,5.9,2.6,3.7
GOS 2023,February,7.6,3.4,4.8
GOS 2023,May,4.4,1.5,2.6
GOS 2023,Total,4.9,1.9,2.9
GOS 2024,November,6.8,2.5,4.1
GOS 2024,February,5.6,2.4,3.6
GOS 2024,May,4.8,1.5,2.8
GOS 2024,Total,5.3,1.8,3.1
,,,,
Column variables:,,,,
FULLEMP,,,,
AWAYWORK,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,
,,,,
Row variables:,,,,
PERIOD,,,,
YEAR,,,,
