"Respondent characteristics among all course levels from all provider types by study area 21, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,Sample,Sample,Respondents,Respondents
,,n,%,n,%
,Agriculture and environmental studies,3777,1.2,1882,1.6
,Architecture and built environment,8304,2.7,2814,2.4
,Business and management,66468,21.7,20673,17.6
,Communications,7425,2.4,2601,2.2
,Computing and information systems,20594,6.7,7884,6.7
,Creative arts,9295,3.0,3636,3.1
,Dentistry,1081,0.4,368,0.3
,Engineering,17009,5.6,6690,5.7
,Health services and support,20416,6.7,8681,7.4
,"Humanities, culture and social sciences",21831,7.1,9639,8.2
,Law and paralegal studies,16011,5.2,5670,4.8
,Medicine,5564,1.8,1954,1.7
,Nursing,27758,9.1,11165,9.5
,Pharmacy,1892,0.6,667,0.6
,Psychology,12565,4.1,5653,4.8
,Rehabilitation,4109,1.3,1422,1.2
,Science and mathematics,24658,8.1,10860,9.2
,Social work,8254,2.7,4027,3.4
,Teacher education,26978,8.8,10791,9.2
,"Tourism, hospitality, personal services, sport and recreation",856,0.3,261,0.2
,Veterinary science,1061,0.3,456,0.4
,Total,305906,100.0,117794,100.0
,,,,,
Column variables:,,,,,
NATCOMPLETE,,,,,
NATINSCOPE,,,,,
,,,,,
Column filters:,,,,,
Respondents: NATCOMPLETE = 1,,,,,
Sample: NATINSCOPE = 1,,,,,
,,,,,
Column notes:,,,,,
This table is constructed from the GOS operational file.,,,,,
,,,,,
Row variables:,,,,,
AREA,,,,,
,,,,,
Row notes:,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,
